column_id	line_number	text
header		অনু. [ 25 ] অনু.
left	1	<b>অনুগৃহীত</b>, <i>a.</i> favored, honored.
left	2	<b>অনুগ্র</b>, <i>a.</i> not passionate, not irascible, cool.
left	3	<b>অনুগ্রহ</b>, <i>s.</i> grace, favor, kindness.
left	4	<b>অনুগ্রহকরণ</b>, <i>s.</i> the shewing of favor.
left	5	<b>অনুগ্রহকারক</b>, <i>s.</i> one who shews favor.
left	6	<b>অনুগ্রহকারী</b>, <i>a.</i> shewing favor, gracious.
left	7	<b>অনুগ্রহপূর্ব্বক</b>, <i>ad.</i> graciously, kindly.
left	8	<b>অনুগ্রহাচরণ</b>, <i>s.</i> gracious conduct, kindness.
left	9	<b>অনুগৃহীতব্য</b>, <b>অনুগ্রাহ্য</b>, <i>a.</i> acceptable, de-
left	10	serving of favor. [vorable.
left	11	<b>অনুগ্রাহক</b>, <b>অনুগ্রাহী</b>, <i>a.</i> gracious, kind, fa-
left	12	<b>অনুগ্রাহকতা</b>, <b>-ত্ব</b>, <i>s.</i> graciousness, kindness.
left	13	<b>অনুচর</b>, <i>s.</i> an attendant, a follower.
left	14	<b>অনুচরিত</b>, <i>a.</i> followed, attended.
left	15	<b>অনুচারী</b>, <i>a.</i> attending, following.
left	16	<b>অনুচিত</b>, <i>a.</i> unfit, improper.
left	17	<b>অনুচিতত্ব</b>, <i>s.</i> unfitness, impropriety.
left	18	<b>অনুচ্চ</b>, <i>a.</i> not high, low, humble, lowly.
left	19	<b>অনুচ্চতা</b>, <i>s.</i> lowness, lowliness, humility.
left	20	<b>অনুচ্চারিত</b>, <i>a.</i> not pronounced, or divulged.
left	21	<b>অনুচ্চার</b>, <b>অনুচ্চারণ</b>, <i>s.</i> silence, non-pronun-
left	22	ciation, a defect in pronunciation.
left	23	<b>অনুচ্চারণীয়</b>, <b>অনুচ্চার্য্য</b>, <i>a.</i> not pronunciable,
left	24	not enunciable, unutterable. [spoken.
