column_id	line_number	text
header		2
left	1	akɔɔtee small crab, said to lie
left	2	in wait to pinch people [said
left	3	"to contain kɔɔ ""hide"" and tee"
left	4	"""see""]."
left	5	akʷɛɛ there, farther (cf. a,
left	6	kʷɛɛ).
left	7	amãrɛ [NK] the remains of
left	8	various processes (cf. a, mã,
left	9	[C] amããrɛ).
left	10	amããrɛ [C] the remains of
left	11	various processes (cf. a, mãã,
left	12	[NK] amãrɛ).
left	13	ametɨ small fish of mangroves
left	14	[lit: who sleeps] [= biɔte].
left	15	amianɛ sparks (cf. mĩã, nɛ).
left	16	amũ in the past, yesterday.
left	17	amʷaa middle finger (cf. a,
left	18	mʷaa) (syn: kamʷaa).
left	19	ana today, the present.
left	20	xaarɛ ana the present season.
left	21	ana tɔ immediately.
left	22	anãɨ̃ a bird (sings during the
left	23	planting season) [lit: who
left	24	"plants], ""tourterelle verte""."
left	25	anɛ̃ what?
left	26	anĩĩ when? (future) (cf. nĩĩ).
left	27	aniina when? (past) (cf. anĩĩ,
left	28	na).
left	29	anoa extra, surplus (cf. noa).
left	30	anũ stay.
left	31	añidɛ kɨrɛ three stones on which
left	32	the pot is placed for cooking
left	33	(cf. ñidɛ).
left	34	apaa father (vocative) (see
left	35	panɛɛ-).
left	36	apɛrɛdaa morning star [lit: who
left	37	brings the day].
left	38	apii person having responsibility
left	39	for burials.
left	40	apuu he who possesses something,
left	41	has control of it.
right	1	in:
right	2	apuu tɛpə chief.
right	3	apuu pia war chief.
right	4	apuu dɔu the possessor of a
right	5	thing.
right	6	apuu caa fisherman or hunter.
right	7	apuu kʷe the master or owner
right	8	of a water hole.
right	9	apuu bʷaakʷɛ a god [master of
right	10	the mountain].
right	11	(Related to paabu.)
right	12	apʷe a kind of black shrimp
right	13	living at bottom of water-
right	14	falls.
right	15	apʷɛi exclamation of longing or
right	16	regret.
right	17	apʷɛni exclamation of longing
right	18	or regret for a dead person.
right	19	ãrã nɛ wood of a fire.
right	20	In:
right	21	ãrã nɛ mĩã burning brand.
right	22	ãrã nɛ mɛ extinguished wood
right	23	"from fire (nɛ ""fire"", mĩã"
right	24	"""red"", mɛ ""extinguished"")."
right	25	arawida tall grass, covered at
right	26	high tide (from language of
right	27	La Foa).
right	28	aarɛ tomorrow, in the future.
right	29	aarə to signal to come, using
right	30	a particular hand signal.
right	31	aarə mɛ̃ signal to come.
right	32	"ãrĩ a bird, ""pigeon vert""."
right	33	ašɛ forward, ahead.
right	34	ašinɛ a kind of shellfish -
right	35	long in shape.
right	36	ašuɛrɛnɛ mud dauber wasp [lit:
right	37	who blows fire].
right	38	atããrɛxʌ̃ʌ̃  index finger (cf. a,
right	39	tãã, xʌ̃ʌ̃).
right	40	"atecɔ a pigeon, ""collier blanc""."
right	41	atɨ there at the foot of the
right	42	mountains (cf. a, tɨ).
right	43	atĩrĩ have faith, hope, count
right	44	on, rely on.
