column_id	line_number	text
header		93
left	1	<b>-coʔ.caŋ</b> <i>fn.</i> Diminutive; <i>part. syn.</i> <b>-coʔ</b>
left	2	<b>ŋaʔi tatcoʔcaŋnaŋ</b> I will cut a little.
left	3	<b>coʔ.coŋ.(ko.ta)</b> <i>n.</i> small place
left	4	<b>coʔ.tiʔ</b> <i>n.</i> stream
left	5	<b>coʔtiʔ khola ʔalnaŋʔ coʔkoʔ wəyʔ</b>
left	6	<b>cyəwʔnaŋʔ</b> I go to the streams and I see
left	7	child's blood.
left	8	<b>coʔ.tuk</b> <i>n.</i> pregnancy
left	9	<b>ʔowʔ momʔcoʔ coʔtuk munaʔ</b> That
left	10	woman is pregnant.
left	11	<b>coʔ.dyaŋ</b> <i>nk.</i> daughter
left	12	<b>ʔanə petoleʔtaŋʔ coʔdyaŋ</b>
left	13	<b>doʔtaŋʔʔakacə</b> The couple had a
left	14	beautiful daughter.
left	15	<b>coʔ.pom</b> <i>n.</i> utensil (sp.), small earthen water
left	16	pot
left	17	<b>coʔ.yaŋ</b> <i>nk.</i> immediate descendants
left	18	<b>coʔ.yaŋ</b> <i>n.</i> small flies
left	19	<b>cok</b> <i>n.</i> hoof
left	20	<b>dom.cok</b> <i>n.</i> hoof
left	21	<b>domkoʔ cok tatti</b> Cutting off the hoof...
left	22	<b>-cok</b> <i>fn.</i> Condescension (with Imperative),
left	23	esp. to younger person; <i>part. syn.</i> <b>-khar</b>
left	24	<b>bəyʔcokci</b?> Give that to me!
left	25	<b>-cok</b> <i>ntb.</i> moment, short period; <i>part. syn.</i>
left	26	<b>-cyok</b>
left	27	<b>ci.cok</b> <i>nt.</i> (after) a while, a moment
left	28	<b>yat cicokhaŋʔ waŋcaŋʔ</b> I will come in a
left	29	moment.
left	30	<b>cok-</b> <i>va.</i> be mature, ready (beer, fruit, bee or
left	31	wasp nest)
left	32	<b>hŋayə coknaʔ</b> The early Chyuri tree is
left	33	ready.
left	34	<b>dyah ʔowʔ tumʔ cokʔa yado</b> Now the
left	35	bee hive is ready (for gathering).
left	36	<b>hluŋ.tuk cok-</b> <i>va.</i> be mature minded, bold
left	37	<b>cok.ta</b> <i>n.</i> solids, sediment (<N)
left	38	<b>coŋ</b> <i>n.</i> corner (outer angle), projection,
left	39	cheekbones; <i>syn.</i> <b>cyor;</b> <i>part. syn.</i> (see
left	40	<b>kryuŋ,</b> etc.)
left	41	<b>-coŋ</b> <i>nk.</i> group of related persons
left	42	<b>pəyk.coŋ</b> <i>nk.</i> husband and wives
right	1	<b>ləyʔ.məyʔ.coŋ</b> <i>nk.</i> relatives
right	2	<b>həw.coŋ</b> <i>nk.</i> children
right	3	<b>coŋ.ʔay-</b> <i>vr.</i> be merry, happy; <i>syn.</i> <b>lih-</b>;
right	4	<i>part. syn.</i> <b>jup.ʔay-</b>
right	5	<b>cyokti yon ani ʔohaŋʔsəy coŋʔaysiʔto</b>
right	6	They got up and looked (at the the
right	7	weather), then they were happy.
right	8	<b>cot</b> <i>adv.</i> truly, completely (<N <b>coti</b>?)
right	9	cotʔay ciʔŋələ I definitely do not know.
right	10	<b>con.co.royʔ</b> <i>adjn.</i> adolescent (female)
right	11	<b>ʔowʔ tohakoʔ concoroyʔ hə</b> She has
right	12	only just reached maturity.
right	13	<b>coyʔ.lik.waʔ</b> <i>n.</i> bird (sp.), lowland nocturnal,
right	14	Nightjar; <i>syn.</i> <b>kromh.waʔ</b>
right	15	<b>coyk-</b> <i>vat.</i> sting, wound slightly, graze
right	16	(arrow); <i>part. syn.</i> <b>cyoyk-
right	17	ŋaʔi ʔowʔ kəʔsyaʔkayʔ laʔʔi
right	18	coykʔalaŋʔ</b> I wounded the deer slightly
right	19	with an arrow.
right	20	<b>cor-</b> <i>vt.</i> cook by heating, then throwing in cold
right	21	water (esp. pulses)
right	22	<b>ʔi bətəmas corʔu</b> Cook these soya beans.
right	23	<b>corʔ-</b> <i>vr.</i> be jealous, hate
right	24	<b>yomleʔ naʔto corʔʔo mantakayʔ</b> Bears
right	25	are very jealous of men.
right	26	<b>hluŋ corʔ-</b> <i>vr.</i> be jealous, hate
right	27	<b>cyəyʔ-</b> <i>vt.</i> split very small, finely (wood, etc.);
right	28	<i>part. syn.</i> <b>cyayʔ-</b> (see also <b>cayk-</b>)
right	29	<b>cyəw.dyəw</b> <i>onom.</i> fanning (of flames)
right	30	<b>cyəwʔ-</b> <i>vt.</i> see, spot, catch sight of, find; <i>syn.</i>
right	31	<b>cewʔ-
right	32	niciʔi ru waŋʔoma cyəwʔŋuculu</b> We
right	33	also did not see the snake's coming.
right	34	<b>ʔowʔməyʔkayʔ cyəwʔtoleʔ boŋʔsa</b>
right	35	They must be sought for until found.
right	36	<b>cyawh-</b> <i>vt.</i> pound with stick (B); <i>syn.</i> <b>thumʔ-</b>
right	37	<b>cyəwh-</b> <i>vt.</i> poke into, jab (eye); <i>syn.</i> <b>cewh-</b>;
right	38	<i>part. syn.</i> <b>doŋh-</b>
right	39	<b>-cya</b> <i>fn.</i> Indefinite Future (WD); <i>syn.</i> <b>-caʔ</b>
right	40	<b>cya-</b> <i>va.</i> increase seasonally in numbers (esp.
right	41	pests - leeches, snails, worms, etc.), be
right	42	plentiful, swarm; <i>ant.</i> <b>yunh-</b>
