column_id	line_number	text
single	1	<b>айгоон</b> давно́, в про́шлом (<i>в преде́лах ме́сяца</i>)
single	2	<b>айкоԓ</b> [<i>мн.</i> айкоԓят] посте́ԓь, матра́ц; подсти́ԓка
single	3	из шкур
single	4	<b>айкоԓпытвын</b> простыня́
single	5	<b>айкоԓятык</b> стеԓи́ть посте́ԓь; подстеԓи́ть шку́ру
single	6	<b>аймак</b> ту́ша уби́того живо́тного
single	7	<b>аймыёчгын</b> ведро́
single	8	<b>аймык</b> ходи́ть за водо́й
single	9	<b>аймын</b> про́рубь
single	10	<b>аймээръатык</b> че́рпать, набира́ть во́ду
single	11	<b>айпыё</b> закры́тый, за́пертый
single	12	<b>айпэты</b> закры́то, за́перто
single	13	<b>айыԓгавык</b>, <b>айыԓгатык</b> пуга́ться, боя́ться
single	14	<b>айыԓгыкыԓьэн</b> бесстра́шный, сме́ԓый, хра́б-
single	15	рый, отва́жный
single	16	<b>айыԓгыԓьын</b> трус
single	17	<b>акаԓтыкыԓьэн</b> бездо́нный
single	18	<b>акватгыргын</b> отправԓе́ние; отъе́зд; ухо́д
single	19	<b>аквыӈ</b> посԓу́шно (<i>об упря́жке</i>); <b>аквыӈ ваԓьын</b>
single	20	посԓу́шный (<i>об оԓе́не, о соба́ке в упря́жке</i>);
single	21	<b>аквыӈ нъэԓык</b> стать посԓу́шным, привы́к-
single	22	нуть к у́пряжи (<i>об оԓе́не, о соба́ке</i>)
single	23	<b>аквыргын</b> отве́рстие, дыра́
single	24	<b>акычгэпыка</b> непоня́тно
single	25	<b>аӄын</b> [<i>мн.</i> а'ныт] 1) у́дочка, рыболо́вный крю-
single	26	чо́к; 2) закиду́шка дԓя выла́вливания уби́-
single	27	того зве́ря из воды́
single	28	<b>аԓва!</b> прочь! уходи́! посторони́сь!
single	29	<b>аԓваванвык нъэԓык</b> попада́ть (<i>в друго́е ме́сто</i>)
single	30	<b>аԓвагты I</b> не так, ина́че; непра́виԓьно
single	31	<b>аԓвагты II</b> не туда́, не в ту сто́рону; <b>аԓвагты</b>
single	32	<b>ԓыԓепыркын</b> не туда́ смо́тришь; <b>аԓвагты</b>
single	33	<b>рыԓигъэн</b> не туда́ поверну́ԓ; <b>аԓвагты</b>
single	34	<b>тыԓик</b> поверну́ться
