column_id	line_number	text
left	1	ii
left	2	<b>ENGLISH.</b>
left	3	After, <i>prep.</i>
left	4	Afternoon, <i>s.</i>
left	5	Afraid, <i>a.</i>
left	6	Again, <i>ad.</i>
left	7	Again (once more)
left	8	Again, <i>ad.</i> (more)
left	9	Against, <i>prep.</i>
left	10	Against, <i>prep.</i>
left	11	(contrary)
left	12	Age, <i>s.</i>
left	13	Ah! <i>int.</i>
left	14	Air, <i>s.</i>
left	15	Aim, <i>s.</i> (end, de-
left	16	sign)
left	17	Alas ! <i>int.</i>
left	18	All, <i>a.</i>
left	19	All over
left	20	All together
left	21	Almanac, <i>s.</i>
left	22	Almost, <i>ad.</i>
left	23	Alms, <i>s.</i>
left	24	Alone, <i>a.</i>
center	1	<b>CIRCASSIAN.</b>
center	2	یِتانِه yeytáhney
center	3	شاگا اُوش ــ یِقِنْدِی
center	4	shágáoosh, yey-ken-dee
center	5	شطَاهبْش shtábsh
center	6	یِد خانِه yed khanéh
center	7	اِگْرِیز سخاگه egriz skhághe
center	8	یطْخانا yetkháná
center	9	مِشِدْشْنَات ــ طْلِه‌نوغ
center	10	méshédshnát, tleynóġh
center	11	اوهدْشِیناط ûhdsheenát
center	12	دِم طْشِی نْمِطْشِیره طْصُون
center	13	dem tshee nemtsheerey tzoon
center	14	واُواو vûóh
center	15	وَاه wáh, شُواِه shoóey
center	16	طْشْخا نِیشْت { tsh'khâ
center	17	neesht {
center	18	واُواو vûóh
center	19	اِیزاق eezáhk
center	20	پْسونْگِی psonghee
center	21	پْسورِیق psórik
center	22	رُوزرنامه rooznámey
center	23	مادشوخُونا mádshokhooná
center	24	زِی zee
center	25	زِه فِیطْ شِمِه zéb fit shéméh
right	1	<b>TURKISH.</b>
right	2	كوره ــ اوزره
right	3	اكندی ــ اویله
right	4	صوكی
right	5	قورقق
right	6	تكرار
right	7	تكر
right	8	دخی
right	9	قرشو ــ بوكا قرشو
right	10	قرشو
right	11	یاش
right	12	وای
right	13	هوا
right	14	مرام
right	15	وای
right	16	هپسی
right	17	هر یرده
right	18	صبحوع
right	19	روزنامه
right	20	از قالدی
right	21	صدقه
right	22	یالكز
