column_id	line_number	text
header		DIM 4 DUT
header		Art; Äll.—Met; Thëre.—Ravine; Bid.—Ñ=ng.
left	1	<b>DÏM'-E</b>, <i>v.</i>, <b>DUM'-E</b>, <i>v. tr.</i> To make
left	2	sonorous, big, as the voice.
left	3	Odïme uyu ke itöñ, <i>He makes his</i>
left	4	<i>voice big in his throat.</i>
left	5	<b>DÏM'-E</b>, <i>v. intr.</i> To resound, be son-
left	6	orous, noisy. Ekömö odïme ke
left	7	ufök, <i>The drum makes a big noise</i>
left	8	<i>in the house.</i> Uyu odïme ke itöñ,
left	9	<i>His voice is sonorous.</i> Odïme
left	10	anam utüm, <i>He works strongly</i>,
left	11	or, <i>with a bustle.</i>
left	12	Der. <i>n.</i>, Udïme-ntïbi.
left	13	<b>DI-ÖK'-HÖ, III.,</b> <i>v. tr.</i> (Diök. I.) To
left	14	irritate, incense. Ikä orü ödiökhö
left	15	mi ke ësët, <i>That word irritates me.</i>
left	16	Ödiökhö fi ke ësët ye ami, <i>It</i>
left	17	<i>incenses you against me.</i> Others,
left	18	To surfeit.
left	19	<b>DI-ÖN</b>, <i>v. tr. & intr.</i> To climb. <i>Ib.</i>,
left	20	<i>Ef.</i>, Düñ.
left	21	<b>DÖB'-Ö</b>. See Däbä.
left	22	<b>DÖÑ</b>, <i>v. tr.</i> 6. With inua. To inter-
left	23	pose. Mö ëdöñ inua kësët, <i>They</i>
left	24	<i>object to the thing.</i> Others, <i>They</i>
left	25	<i>give a charge concerning it.</i>
left	26	Der. <i>n.</i>, Udön̄-inua, <i>v.</i> ikä.
left	27	<b>DÖÑ</b>, <i>v. tr. Ib.</i>, Döñ akam, <i>To pray.</i>
left	28	<i>Ef.</i>, Böñ.
left	29	<b>DU-Ä'</b>, <i>v. intr.</i> 4. To come far down,
left	30	as a garment; to be flowing.
left	31	5. To fall out, result in, as a divi-
left	32	nation. Idiöñ öduä owo ke ëbüd,
left	33	<i>v.</i>, unen, <i>Idiöñ directs the sacrifice</i>
left	34	<i>of a goat or fowl.</i>
left	35	<b>DU-AT'</b>, <i>v. intr.</i> 3. To chatter,
left	36	perhaps loudly in anger. Spoken
left	37	by some of the monkey.
left	38	<b>DÜB'-O</b>, <i>v. tr.</i> To silence, quiet.
left	39	Odübo uyüm, <i>He silences the noise.</i>
left	40	Odübo eköñ, <i>He quiets the strife,</i>
left	41	<i>warfare.</i>
left	42	<b>DU-EN'-DU-EN</b>, <i>adv.</i> Smooth; shin-
left	43	ing, <i>e.g.</i>, any thing polished.
left	44	Etie duen-duen, <i>It is highly</i>
left	45	<i>polished.</i>
left	46	<b>DÜM'-O, II.</b> <i>v. tr.</i> 2. To burn. Mö
right	1	ëdümo adan, idümoke kande, <i>They</i>
right	2	<i>burn oil, not candles.</i>
right	3	<b>DU-OI'</b>, <i>v. intr.</i> 2. To fall or hang
right	4	down, as the end of a napkin
right	5	which should be tied up. Used
right	6	by some as <i>Syn.</i> of Kpöm.
right	7	<b>DU-ÖK'</b>, <i>v. tr.</i> 15. To overwhelm.
right	8	Mfat öduök enye, <i>Mfat quite</i>
right	9	<i>covers him.</i>
right	10	16. <i>Trop.</i> To shed, throw, as a
right	11	glittering object its lustre. Mba
right	12	esie öduök idañ, <i>v.</i>, möñ okuk,
right	13	<i>Its wing glistens like plating or</i>
right	14	<i>gilding.</i>
right	15	<b>DU-ÖK'-HÖ</b>, <i>v. intr. & ref.</i> 1. To
right	16	fail in accomplishing a purpose or
right	17	agreement.
right	18	2. To throw one's-self upon. Mö
right	19	ëduökhö ke udia, <i>They fall raven-</i>
right	20	<i>ously on the food.</i>
right	21	<b>DU-ÖÑ'-Ö</b>, <i>v. intr.</i> To lurch, as a
right	22	ship.
right	23	<b>DU-ÖT'</b>, <i>v. tr.</i> To make inert, feeble.
right	24	Idem öduöt mi, <i>I feel indisposed.</i>
right	25	<i>Syn.</i>, Mem.
right	26	<b>DU-ÖT'</b>, <i>v. intr.</i> To be heavy.
right	27	Spoken of rain. Edim öduöt,
right	28	<i>v.</i>, edep öduöt, <i>The rain falls</i>
right	29	<i>heavily.</i>
right	30	<b>DÜR'-O</b>, <i>v. tr.</i> To rest on. Odüro
right	31	ke mben, <i>It is brimful.</i>
right	32	<b>DUT, II.</b> <i>v. intr. & tr.</i> To be stringy,
right	33	tough, wiry. Unam odut, <i>The</i>
right	34	<i>beef is tough.</i> Idem odut enye, <i>v.</i>,
right	35	etie enye idut-idut, <i>His sinews are</i>
right	36	<i>prominent.</i>
right	37	Der. <i>a. & adv.</i>, Idut-idut, and
right	38	udut-udut.
right	39	<b>DU-TU'</b>, <i>v. tr.</i> To pick up, gather;
right	40	to collect one by one. Used by
right	41	some of small, by others of dis-
right	42	tant things.
right	43	Der. <i>n.</i> Ndutu.
right	44	<b>DU-TUK'-HÄ</b>, <i>v. intr.</i> To be afflicted,
right	45	tormented. Odutukhä eti-eti, <i>He</i>
right	46	<i>is much afflicted.</i>
