column_id	line_number	text
header		ესენ — 120 — ექო
left	1	<b>ესენი</b> эти; см. <b>ეს.</b>
left	2	<b>ესთეტი</b> эстет.
left	3	<b>ესთეტიკა</b> эстетика.
left	4	<b>ესთეტიკური</b> эстетический
left	5	(-ая, -ое).
left	6	<b>ესკიმოსი</b> эскимос.
left	7	<b>ესკიმოსური</b> эскимосский (-ая,
left	8	-ое).
left	9	<b>ესოდენ</b> <i>нарч.</i> столь, настолько.
left	10	<b>ესოდენი</b> такой (-ая, -ое).
left	11	<b>ესტაფეტური</b> эстафетный (-ая,
left	12	-ое).
left	13	<b>ესტრადული</b> эстрадный (-ая,
left	14	-ое).
left	15	<b>ესტუმრება</b> III <i>л.</i> будущего вр.
left	16	он пойдёт к нему (к ней) в
left	17	гости.
left	18	<b>ესწრება</b> посещает; присутст-
left	19	вует III <i>л.</i> настоящ. вр.; см.
left	20	<i>დასწრება</i>.
left	21	<b>ესხვაფერა</b> показался ему
left	22	иным.
left	23	<b>ეტიმოლოგია</b> <i>грам.</i> этимоло-
left	24	гия.
left	25	<b>ეტიმოლოგიური</b> этимологи-
left	26	ческий (-ая, -ое).
left	27	<b>ეტიუდი</b> этюд.
left	28	<b>ეტიუდური</b> этюдный (-ая, -ое)
left	29	<b>ეტლი</b> экипаж, фаэтон, коляс-
left	30	ка.
left	31	<b>ეტყობა</b> вводн. слово: видно,
left	32	видимо.
left	33	<b>ეული</b> бобыль, <i>м.</i>
left	34	<b>ეულობა</b> кочёвка; <i>перен.</i> оди-
left	35	ночество.
left	36	<b>ეფექტი</b> эффект.
left	37	<b>ეფექტიანი</b> эффектный (-ая,
left	38	-ое.)
left	39	<b>ეფექტიანობა</b> эффективность,
left	40	<i>ж.</i>
left	41	<b>ეფექტური</b> эффективный (-ая,
left	42	-ое).
left	43	<b>ეფექტურობა</b> эффектность, <i>ж.</i>
right	1	<b>ექვსასი</b> шестьсот.
right	2	<b>ექვსდღიანი</b> шестидневный
right	3	(-ая, -ое).
right	4	<b>ექვსდღიური</b> шестидневка
right	5	<b>ექვსთვიანი</b> шестимесячный
right	6	(-ая, -ое).
right	7	<b>ექვსთითა</b> шестипалый (-ая,
right	8	-ое).
right	9	<b>ექვსი</b> шесть.
right	10	<b>ექვსიანი</b> <i>карт.</i> шестёрка.
right	11	<b>ექვსიოდე</b> <i>нарч.</i> приблизитель-
right	12	но, около шести.
right	13	<b>ექვსკუთხა</b> шестиугольный
right	14	(-ая, -ое).
right	15	<b>ექვსკუთხედი</b> шестиугольник.
right	16	<b>ექვსკუთხიანი</b> шестиуголь-
right	17	ный (-ая, -ос).
right	18	<b>ექვსმარცვლიანი, -ოვანი,</b> ше-
right	19	стисложный (-ая, -ое).
right	20	<b>ექვსმუხლიანი</b> шестистопный,
right	21	(стих).
right	22	<b>ექვსსიმიანი</b> шестиструнный,
right	23	(-ая, -ое).
right	24	<b>ექვსტომეული</b> шеститомник.
right	25	<b>ექვსწახნაგა</b> <i>мат.</i> шестигран-
right	26	ный; с шестигранник
right	27	<b>ექვსწლიანი</b> шестилетний (-ая,
right	28	-ое).
right	29	<b>ექვსხმიანი</b> <i>муз.</i> шестиголо-
right	30	сный (-ая, -ое).
right	31	<b>ექვსჯერ</b> шесть раз.
right	32	<b>ექთანი (ექიმის თანაშემწე),</b>
right	33	фельдшер, (<i>ж.</i>) фельдшери-
right	34	ца
right	35	<b>ექიმბაში</b> знахарь, <i>м.</i>
right	36	<b>ექიმბაშობა</b> знахарство.
right	37	<b>ექიმბაშური</b> знахарский (-ая,
right	38	-ое).
right	39	<b>ექიმი</b> доктор, врач.
right	40	<b>ექიმობა</b> лечить; с лечение
right	41	<b>ექო</b> эхо
