column_id	line_number	text
header		ΑΔΡΑ = 13 = ΑΕΡΟ
left	1	ergy, laxly, slackly.
left	2	<b>᾿Αδραστος</b>, see <b>᾿Αναπόδραστος</b>.
left	3	<b>᾿Αδράχνω</b>, v. a. vul. to seize, to catch.
left	4	<b>᾿Αδρεπτος</b>, ον, a. unplucked, ungathered,
left	5	not cropped.
left	6	<b>῾Αδρὸς</b>, ὰ, ὸν, a. magnificent, great,
left	7	abundant, rich, robust, big, large.
left	8	<b>῾Αδρότης</b>, ητος, s. f. abundance, exu-
left	9	berance, largeness, bigness.
left	10	<b>῾Αδρῶς</b>, adv. abundantly, magnificent-
left	11	ly, with profusion, richly, hand-
left	12	somely.
left	13	<b>᾿Αδυναμία</b>, ας, s. f. weakness, feeble-
left	14	ness, debility, languidness, inability.
left	15	<b>᾿Αδυνάμωτος</b>, ον, a. not strengthened, not
left	16	fortified.
left	17	<b>᾿Αδυνάστευτος</b>, ον, a. not oppressed.
left	18	<b>᾿Αδύνατα</b>, adv. vul. weakly, feebly, im-
left	19	possibly.
left	20	<b>᾿Αδυνατίζω</b>, v. a. to weaken, to enfee-
left	21	ble; v. n. to become weak, feeble;
left	22	(<i>γίνομαι ἰσχνὸς</i>) to grow thin or lean.
left	23	<b>᾿Αδυνάτισμα</b>, ατος, s. n. weakness, debili-
left	24	ty.
left	25	<b>᾿Αδύνατος</b>, ον, a. weak, feeble, infirm;
left	26	cast-down; (<i>ἰσχνὸς</i>) thin, poor; (<i>ἀκα-</i>
left	27	<i>τόρθωτος</i>) impossible, impracticable;
left	28	s. n. <b>τὸ ἀδύνατον</b>, impossibility; <b>εἶναι</b>
left	29	<b>ὅλως ἀδύνατον</b>, to be utterly or quite
left	30	impossible;<b>κάμνειν τὰ ἀδύνατα δυνατά</b>,to
left	31	do a seeming impossibility; <b>καθιστᾷν</b>
left	32	<b>ἀδύνατον</b>, to render impossible; <b>τοῦτο</b>
left	33	<b>μὸὶ εἶναι ἀδύνατον</b>, that is out of my
left	34	power; <b>ἀποβαίνει ὅλως ἀδύνατον</b>, it be-
left	35	comes altogether impossible.
left	36	<b>᾿Αδυνατῶ</b>, έω, v. n. not to be able; to
left	37	find something impossible; to be-
left	38	come or get weak, to become enfee-
left	39	bled; to become lean, to grow thin.
left	40	<b>᾿Αδυνάτως</b>, adv. weakly, impossibly.
left	41	<b>᾿Αδυσώπητος</b>, ον, a. inexorable, unmo-
left	42	ved, unrelenting.
left	43	<b>᾿Αδυσωπήτως</b>, adv. inexorably.
left	44	<b>῎Αδυτον</b>, ου, s. n. a shrine, a sanctuary.
left	45	<b>῎Αδυτος</b>, ον, a. impenetrable, secret,
left	46	concealed.
left	47	<b>῎Αδω</b>, ν. n. to sing, praise, celebrate;
left	48	<i>ᾄδεται ὅτι</i>, it is said, it is rumoured.
left	49	<b>᾿Αδώρητος</b>, ον, a. ungifted, not gratified;
left	50	(<i>μὴ δωρηθεὶς</i>) not given.
left	51	<b>᾿Αδωροδόκητος</b>, ον, a. not bribed, incor-
left	52	ruptible, honest, sincere, unbought.
left	53	<b>῎Αδωρος</b>, ον, a. ungifted, unrewarded,
left	54	destitute of gifts; <i>ἄδωρον δῶρον</i>, a
left	55	present not worth accepting or ruin-
right	1	ous, a perfidious present.
right	2	<b>᾿Αεὶ</b>, adv. always, ever, continually.
right	3	<b>᾿Αειδουλεία</b>, ας, s. f. perpetual servitude.
right	4	<b>᾿Αείδουλος</b>, ον, a. perpetually servile.
right	5	<b>᾿Αειθαλής</b>, ές, a. evergreen, ever flou-
right	6	rishing, never withering, ever pros-
right	7	perous.
right	8	<b>᾿Αεικινησία</b>, ας, s. f. perpetual motion,
right	9	restlessness.
right	10	<b>᾿Αεικίνητος</b>, ον, a. perpetually moving,
right	11	restless, fidgety.
right	12	<b>᾿Αεικινήτως</b>, adv. with perpetual mo-
right	13	tion.
right	14	<b>᾿Αειλαμπὴς</b>, ές, a. ever shining.
right	15	<b>᾿Αείμνηστος</b>, ον, a. memorable, worthy
right	16	of being ever remembered.
right	17	<b>᾿Αειμνήστως</b>, adv. memorably.
right	18	<b>᾿Αειπάρθενος</b>, ον, a. Ever-Virgin (Mary).
right	19	<b>᾿Αείποτε</b>, adv. always, ever.
right	20	<b>᾿Αειφρούρητος</b>, ον, a. ever-defended.
right	21	<b>᾿Αειφυγία</b>, ας, s. f. perpetual banish-
right	22	ment.
right	23	<b>᾿Αενναος</b>, ον, a. continual, perennial,
right	24	(<i>ἀείρροος</i>) ever-flowing, never-failing.
right	25	<b>᾿Αεννάως</b>, adv. perpetually, continually.
right	26	<b>᾿Αεράκι</b>, ίου, s. n. vul. zephyr, light wind,
right	27	breeze.
right	28	<b>᾿Αεραντλία</b>, ας, s. f. air-pump.
right	29	<b>᾿Αέρας</b>, α, s. m. vul. wind; <b>εἰς τὸν ἀέρα</b>,
right	30	or <b>ματαίως</b>, foolishly, in vain; <b>πρᾶγμα</b>
right	31	<b>τοῦ ἀέρος</b>, a trifle, vanity, folly.
right	32	<b>᾿Αεργία</b>, ας, s. f. idleness, indolence,
right	33	inactivity, sloth.
right	34	<b>'Αεργος</b>, ον, a. idle, without work, disen-
right	35	gaged.
right	36	<b>᾿Αερίζω</b>, v. a. to air, to ventilate.
right	37	<b>᾿Αερικὸς</b>, ὴ, ὸν, a. airy, ventilated.
right	38	<b>᾿Αέριον</b>, ίου, s. n. gas.
right	39	<b>᾿Αέριος</b>, ία, ιον, a. airy; (<i>ἐναέριος</i>) aerial.
right	40	<b>᾿Αεριόφως</b>, ωτος, s. n. gas, gas-light.
right	41	<b>᾿Αέρισμα</b>, ατος, s. n. an airing, ventila-
right	42	tion.
right	43	<b>᾿Αεριστῆρι</b>, ίου, s. m. a fan, a ventilator.
right	44	<b>᾿Αεριώδης</b>, ες, a. gaseous.
right	45	<b>᾿Αεροβάτης</b>, ου, s. m. one who traverses
right	46	the air, an aeronaut; a visionary.
right	47	<b>᾿Αεροβατικὸς</b>, ὴ, ὸν, traversing the air;
right	48	<i>μηχανὴ ἀεροβατική</i>, air balloon.
right	49	<b>᾿Αεροβατῶ</b>, έω, v. n. to travel through
right	50	the air, to form vain speculations,
right	51	to build castles in the air.
