column_id	line_number	text
header		નિષ્કર્મ 453 નિષ્પ્ર
left	1	<b>નિષ્ચેતન,</b> <i>a. S.</i> Devoid of feel-
left	2	ling or sense; insensible,
left	3	unconscious.
left	4	<b>નિશ્વાસ,</b> <i>s.m. S.</i> Expiration,
left	5	breath expired, breathing out.
left	6	2 Groaning, sobbing. (<b>નિર્</b>
left	7	out & <b>શ્વાસ</b> breath.)
left	8	<b>નિશ્રાંક,</b> <i>a. S.</i> Confident, decid-
left	9	ed, determined, unhesitating.
left	10	<b>નિષાદ,</b> <i>s.m. S.</i> A fisherman.
left	11	<b>નિષુર,</b> <i>a.</i> Hard, harsh.
left	12	<b>નિષેધ,</b> <i>s.m. S.</i> Prohibition, inter-
left	13	diction, reproof. 2 Denial, dis-
left	14	avowal, negativing or refusing.
left	15	<b>દ્વૌનિષેધૌવિધિ બોધયત :</b> Two
left	16	negatives make an affirmative.
left	17	(<b>નિ</b> before & <b>સિધ</b> to complete.)
left	18	<b>નિષેધક,</b> <i>a.</i> One that puts an
left	19	interdict upon, that forbids or
left	20	prohibits, also that reproves.
left	21	<b>નિષેધવું,</b> <i>v.a.</i> To forbid, prohibit,
left	22	reprove. 2 To negative, gen.
left	23	<b>નિષ્કંટક,</b> <i>a. S.</i> Void of thorns,
left	24	inermis. 2 Free from danger,
left	25	harassment, annoyance, in-
left	26	convenience.
left	27	<b>નિષ્કપટ, -ટી,</b> <i>a.</i> Free from guile or
left	28	falsity; fair, ingenuous, candid.
left	29	<b>નિષ્કર્મ, -મી,</b> <i>a. S.</i> Exempt
left	30	(through the merit of austere
left	31	piety) from the obligation of
left	32	religious works and piety.
left	33	<b>2</b> That refrains from works
left	34	and devotes himself to ab-
left	35	stract contemplation.
right	1	<b>નિષ્કલંક,</b> <i>a. S.</i> Free from stain,
right	2	spot, slur, lit. fig.; immaculate,
right	3	pure, clean.
right	4	<b>નિષ્કામ,</b> <i>a.S.</i> Free from desire.
right	5	<b>નિષ્કારણ,</b> <i>ad.</i> Causelessly, need-
right	6	lessly, without ground or rea-
right	7	son. 2 <i>a.</i> Uncaused; useless.
right	8	<b>નિષ્કાળજી,</b> <i>a. S.</i> Free from
right	9	solicitude or anxiety.
right	10	<b>નિષ્ટ,</b> <i>p. S.</i> Fixed in, seated in,
right	11	inherent. Ex. of comp. <b>અ-</b>
right	12	<b>નિષ્ઠ, મનોનિષ્ઠ.</b>
right	13	<b>નિષ્ઠા, -ટા,</b> <i>s.f. S.</i> Fixed affec-
right	14	tion or attention; devoted or
right	15	engagedness of heart or mind;
right	16	attachment. 2 Reliance, trust,
right	17	confidence.
right	18	3 Aim, object, intent.
right	19	<b>નિષ્ટુર,</b> <i>a. S.</i> Cruel, hard-hearted.
right	20	2 Harsh, violent.
right	21	<b>નિષ્પત્તિ,</b> <i>s.f. S.</i> Completion.
right	22	2 (<i>Math.</i>) Measure.
right	23	<b>નિષ્પક્ષપાત,</b> <i>a.</i> Impartial.
right	24	<b>નિષ્પાદન,</b> <i>s.n. S.</i> Producing.
right	25	<b>નિષ્પાપ,</b> <i>a. S.</i> Sinless.
right	26	<b>નિષ્પ્રપંચ,</b> <i>a. S.</i> Exempt or free
right	27	from secular proceedings or
right	28	doings—a devotee &c.; un-
right	29	worldly.
right	30	<b>નિષ્પ્રયોજન,</b> <i>a. S.</i> Causeless,
right	31	needless, wanting reason or
right	32	occasion.
right	33	<b>નિષ્પ્રહી,</b> <i>a. S.</i> That covets,
right	34	craves, or desires not; exempt
right	35	from concupiscence.
