column_id	line_number	text
header		taaŋŋaqti
header		taġiuġmiut
left	1	<b>imiqtuaq.</b> <i>See:</i> <b>imiġuuruaq</b>.
left	2	<b>taaŋŋaqti</b> <i>n.</i> alcoholic; drunkard. <i>Syn:</i> <b>imiġuuruaq</b>;
left	3	<b>imiŋaruaq</b>; <b>imiqtuaq</b>.
left	4	<b>taapkua</b> <i>dem.pron.</i> those right there (plural). <i>Syn:</i>
left	5	<b>taamna</b>.
left	6	<b>taapkunani</b> those located right there (locative).
left	7	<b>taapkunuŋa</b> toward those right there
left	8	(terminalis).
left	9	<b>taapkunakŋa</b> from those right there (ablative).
left	10	<i>Variant:</i> <b>taapkunaŋŋa</b>.
left	11	<b>taapkunuuna</b> through those right there (vialis).
left	12	<b>taapkunatun</b> like those right there (similaris).
left	13	<b>taapkuniŋa</b> those right there, with those right
left	14	there (modalis).
left	15	<b>taapkuak</b> <i>dem.pron.</i> those two right there (dual).
left	16	<i>Syn:</i> <b>taamna</b>.
left	17	<b>taapkuŋnaŋni</b> those two located right there
left	18	(locative).
left	19	<b>taapkuŋnuŋa</b> toward those two right there
left	20	(terminalis).
left	21	<b>taapkuŋnakŋa</b> from those two right there
left	22	(ablative). <i>Variant:</i> <b>taapkuŋnaŋŋa</b>.
left	23	<b>taapkuŋnuuna</b> through those two right there
left	24	(vialis).
left	25	<b>taapkuŋnaktun</b> like those two right there
left	26	(similaris).
left	27	<b>taapkuŋniŋa</b> those two right there, with those
left	28	two right there (modalis).
left	29	<b>taaq</b> <i>n.</i> darkness.
left	30	<b>taaq-</b> <i>vi.</i> 1) to be dark. 2) to become dusky, to have
left	31	little light.
left	32	<b>taaqsaq-</b> <i>vt.</i> to darken hair. <i>Lit:</i> 'make darker'.
left	33	<i>Variant:</i> <b>taaqtitaq-</b>.
left	34	<b>taaqsi-</b> <i>vi.</i> to become dark.
left	35	<b>taaqsima-</b> <i>vi.</i> to be unadjusted to darkness (of eyes).
left	36	<b>taaqsipaiyaaq</b> <i>n.</i> 1) half-negro. 2) Negro child;
left	37	young Negro.
left	38	<b>taaqsipak</b> <i>n.</i> Negro (member of a major human racial
left	39	division traditionally distinguished by physical
left	40	characteristics such as brown to black
left	41	pigmentation and often tightly curled hair);
left	42	dark-skinned person.
left	43	<b>taaqsisuqsi-</b> <i>vi.</i> to become dark sooner.
left	44	<b>taaqsiulguit-</b> <i>vi.</i> to be unadjusted to darkness (of
left	45	eyes); to have difficulty seeing in the dark.
left	46	<b>taaqtaaq</b> <i>n.</i> something black; anything of a dark
left	47	color.
left	48	<b>taaqtaq</b> <i>n.</i> something black; blue denim.
left	49	<b>taaqtinniq</b> <i>n.</i> bruise. <i>Variant:</i> <b>anaqtinniq</b>.
left	50	<b>taaqtukkaq-</b> <i>vi.</i> to faint, to black out. <i>Syn:</i> <b>aiyaaŋa-</b>;
left	51	<b>imuliq-</b>; <b>kuniġaq-</b>; <b>tuquanŋu-</b>. <i>Variant:</i>
left	52	<b>taaqtupkaq-</b>.
left	53	<b>taaqtuliq-</b> <i>vi.</i> to turn dark earlier (of days in fall).
left	54	<b>taaqtupkaq-</b> <i>vi.</i> to faint. <i>See:</i> <b>aayaaŋa-</b>. <i>Variant:</i>
right	1	<b>taaqtukkaq-</b>.
right	2	<b>taaqtupkaġniala-</b> to have fainting spells.
right	3	<b>taaqtupkaqayaq-</b> to nearly nearly faint.
right	4	<b>taata</b> <i>n.</i> father. <i>Variant:</i> <b>aapa</b>.
right	5	<b>taataiḷaq</b> <i>n.</i> fatherless child, illegitimate child. <i>Lit:</i>
right	6	'one without a father'. <i>Variant:</i> <b>aapaiḷaq</b>.
right	7	<b>taataksraq</b> <i>n.</i> stepfather. <i>Variant:</i> <b>aapaksraq</b>.
right	8	<b>taataruaq</b> <i>n.</i> 1) grandfather. 2) great-uncle.
right	9	<b>taatchiŋiq</b> <i>n.</i> common loon. <i><u>Gavia immer<u/></i>.
right	10	<b>taatchiŋiraq</b> <i>n.</i> slate-colored junco. <i><u>Junco hyemalis</u></i>.
right	11	<b>taatna</b> <i>adv.</i> like this; thus, in this manner. <b>Taatnatun</b>
right	12	<b>umialik tuqulliñiaqtuq iñuuŋuraġniallaġmi</b>.
right	13	In the same way the rich man is going to die
right	14	while he goes about his life. <i>Variant:</i> <b>itna</b>.
right	15	<b>taatnaluasru</b> <i>excl.</i> word used when agreeing with
right	16	speaker. <i>Syn:</i> <b>asulu</b>.
right	17	<b>taatnałhaiññaq</b> <i>adv.</i> continually; that way all the
right	18	time; repeatedly in that manner.
right	19	<b>taatnamik</b> <i>adv.</i> therefore.
right	20	<b>taatnaqtit-</b> <i>vi.</i> to fulfill; to make happen. <i>Lit:</i> 'let it
right	21	become that way'.
right	22	<b>taatnasiq</b> <i>n.</i> certain kind; certain type, certain class.
right	23	<i>Variant:</i> <b>taatnasriq</b>.
right	24	<b>taatnasriq</b> <i>n.</i> certain kind; certain type, certain class.
right	25	<i>Variant:</i> <b>taatnasiq</b>.
right	26	<b>taatnaunnii</b> <i>excl.</i> do it that way anyway because it
right	27	will be acceptable.
right	28	"<b>taatniuli</b> <i>excl.</i> ""let it be""; leave (him, her, it) alone."
right	29	<b>taggiñ</b> <i>n.</i> 1) term (a name of something); a title of
right	30	something. <i>Syn:</i> <b>taiñiq</b>. 2) noun (in Iñupiat
right	31	grammar).
right	32	<b>tagiala-</b> <i>vi.</i> 1) to feel unwelcome. 2) to be homesick.
right	33	<b>tagialanait-</b> <i>vi.</i> to be hospitable (of an enjoyable
right	34	atmosphere); to feel welcomed. <i>Syn:</i> <b>niġiñaq-</b>;
right	35	<b>tukkii-</b>; <b>tutqiŋñaq-</b>.
right	36	<b>tagialanaq-</b> <i>vi.</i> to be inhospitable (of unfavorable
right	37	atmosphere).
right	38	<b>tagiaqtuq-</b> <i>vi.</i> to go away from home (not feeling
right	39	welcome anymore).
right	40	<b>tagiuq</b> <i>n.</i> worm which inhabits the nasal cavity
right	41	(especially of caribou).
right	42	<b>tagiuq-</b> <i>vi.</i> to sneeze. (Originally thought to be
right	43	caused by annoying the worm inside the nose.).
