column_id	line_number	text
header		FUN
header		96
header		FUN
left	1	<b>FUNADOIYA</b> フナドイヤ <b>舟問屋 n.</b> A com-
left	2	mission house for goods brought by ship; a
left	3	shipping merchant.
left	4	Syn. <i>KAISEN-DOIYA</i>.
left	5	<b>FUNADOMARI</b> フナドマリ <b>n.</b> Stopping by ship
left	6	at a place for a short time: <i>Kōbe minato ni —</i>
left	7	<i>suru</i>, to touch at Kōbe.
left	8	<b>FUNA-DOME</b> フナドメ <b>n.</b> Stopping ships from
left	9	entering; a blockade.
left	10	†<b>FUNADO-NO-KAMI</b> フナドノカミ <b>n.</b> The god of
left	11	roads, who protects the roads against evil
left	12	spirits.
left	13	<b>FUNAGAKARI</b> フナガカリ <b>舟繫 n.</b> Anchoring,
left	14	or making fast a ship or boat: — <i>wo suru</i>, to
left	15	anchor; — <i>shite oru</i>, to be at anchor.
left	16	<b>FUNAGASSEN</b>, フナガッセン <b>舩合戦 n.</b> A
left	17	<b>FUNAIKUSA</b> naval battle.
left	18	<b>FUNAGI</b> フナギ <b>n.</b> Timber for building boats
left	19	or ships.
left	20	<b>FUNAGIYOI, -OU</b> フナギホフ <b>i.v.</b> To race or
left	21	emulate in going by boat.
left	22	<b>FUNAGO</b> フナゴ <b>n.</b> Sailor=<i>kako, suifu</i>.
left	23	<b>FUNAGOYA</b> フナゴヤ <b>舩小屋 n.</b> A house or
left	24	shed under which ships or boats are built or
left	25	kept.
left	26	<b>FUNAGU</b> フナグ <b>n.</b> The rigging or furniture of
left	27	a ship.
left	28	<b>FUNAGURA</b> フナグラ <b>舩庫 n.</b> A dock for keep-
left	29	ing ships or boats.
left	30	<b>FUNAHIKI</b> フナヒキ <b>n.</b> One who tows a boat:
left	31	— <i>nawa</i>, a tow-line; — <i>michi</i>, a tow-path.
left	32	†<b>FUNA-I</b> フナ井 <b>n.</b> Anchoring a boat or ship.
left	33	<b>FUNAJI</b> フナヂ <b>舩路 n.</b> The way, or distance
left	34	by ship; the route of a ship: — <i>wa oyoso iku</i>
left	35	<i>sen ri</i>, about how many thousand miles is
left	36	it by ship? <i>Shanghai ye no — wa dochira</i>
left	37	<i>wo yuku</i>, by what route does a ship go to
left	38	Shanghai?
left	39	<b>FUNAJIRUSHI</b> フナジルシ <b>n.</b> A ship's ensign
left	40	or flag.
left	41	<b>FUNAKA</b> フナカ <b>n.</b> Not on good terms; disagree-
left	42	ment.
left	43	<b>FUNAKAKE</b> フナカケ <b>n.</b> A boat-race.
left	44	Syn. <i>KEISHŪ</i>.
left	45	<b>FUNAKATA</b> フナカタ <b>舟方 n.</b> Sailors; boat-
left	46	men. Syn. <i>SENDŌ</i>.
left	47	<b>FUNAKAZARI</b> フナカザリ <b>n.</b> Decorating or em-
left	48	bellishing a ship: — <i>suru</i>.
left	49	<b>FUNAKO</b> フナコ <b>舟子 n.</b> A sailor, boatman.
left	50	<b>FUNAKOBORI</b> フナコポリ <b>舩溢 n.</b> A person
left	51	saved from shipwreck.
left	52	†<b>FUNAKURABE</b> フナクラベ <b>n.</b> A boat-race=
left	53	<i>funakake</i>.
left	54	<b>FUNAMANJŪ</b> フナマンヂウ <b>舩饅頭 n. (coll.)</b> A
left	55	ship's prostitute.
left	56	<b>FUNAMICHI</b> フナミチ <b>n.</b> The course of a ship;
left	57	also, the wake of a ship.
left	58	<b>FUNAMOCHI</b> フナモチ <b>舩持 n.</b> A ship-owner.
left	59	<b>FUNAMOYOI</b> フナモヨヒ <b>n.</b> Preparing a boat
left	60	or ship for sailing.
left	61	<b>FUNAMUSHI</b> フナムシ <b>n.</b> A kind of wood louse
left	62	that infest boats.
left	63	<b>FUNANI</b> フナニ <b>n.</b> Cargo.
left	64	<b>FUNAOROSHI</b> フナオロシ <b>舩卸 n.</b> Launching
left	65	a ship.
right	1	<b>FUNAOSA</b> フナオサ <b>舩長 n.</b> The captain of a
right	2	ship. Syn. <i>SENCHŌ</i>.
right	3	<b>FUNATSUKI</b> フナツキ <b>舩着 n.</b> Anchoring;
right	4	anchorage; a place where boats or ships stop,
right	5	or anchor. Syn. <i>MINATO, FUNABA</i>.
right	6	<b>FUNAUTA</b> フナウタ <b>舩歌 n.</b> A boat song.
right	7	<b>FUNAWATA</b> フナワタ <b>n.</b> Oakum.
right	8	Syn. <i>MAIHADA</i>.
right	9	<b>FUNAWATASHI</b> フナワタシ <b>舩渡 n.</b> A ferry.
right	10	<b>FUNAYADO</b> フナヤド <b>舩宿 n.</b> A sailor's inn; a
right	11	boat-house; a person who keeps boats for
right	12	hire.
right	13	<b>FUNAYAKATA</b> フナヤカタ <b>n.</b> The house or
right	14	pavilion on a pleasure boat.
right	15	†<b>FUNAYAMOI</b> }
right	16	<b>FUNAYAMAI</b> } フナヤモヒ <b>n.</b> Sea-sickness
right	17	<b>FUNAYOBAI</b> フナヨバヒ <b>n.</b> Calling a boat, as
right	18	at a ferry.
right	19	<b>FUNAYOSOI</b> フナヨソヒ <b>舩装 n.</b> Fitting out or
right	20	preparing a ship for passengers, or for a
right	21	battle.
right	22	†<b>FUNAYU</b> フナユ <b>n.</b> Bilge-water=aka.
right	23	<b>FUNAYUSAN</b> フナユサン <b>舩遊山 n.</b> A boat
right	24	excursion for pleasure.
right	25	<b>FUNAZOKO</b> フナゾコ <b>舟底 n.</b> A ship's bottom;
right	26	a kind of covering for the head.
right	27	<b>FUNAZUMI</b> フナヅミ <b>舟積 n.</b> Loading a ship:
right	28	<i>kon-nichi — wo itashimasu</i>, I shall put in
right	29	cargo to-day; <i>kon-nichi — de gozarimasu</i>, this
right	30	is the day for loading cargo.
right	31	†<b>FUNDE</b> フンデ <b>n.</b> i.q. <i>fude</i>.
right	32	<b>FUNDEI</b> フンデイ <b>粉泥 n.</b> A kind of gilt paint.
right	33	<b>FUNDŌ</b> フンドウ <b>分銅 n.</b> The weights of
right	34	<b>FUNDON</b> a weighing beam, or scales.
right	35	<b>FUNDO</b> フンド <b>糞土 n.</b> Dung.
right	36	<b>FUNDO</b> フンド <b>憤怒 n.</b> Anger; indignation.
right	37	Syn. <i>IKIDORI, HARATACHI, IKARI</i>.
right	38	<b>FUNDOSHI</b> フンドシ <b>褌 n.</b> The cloth worn
right	39	around the loins; a waist-cloth.
right	40	Syn. <i>YUMOJI, ITA-OBI</i>.
right	41	<b>FUNE</b> フネ <b>舩 n.</b> A boat, ship; a vat; the
right	42	large tub in a bath house: — <i>no kō-ita</i>, the
right	43	deck of a ship; — <i>no hogeta</i>, the yards of a
right	44	ship; — <i>no hozuna</i>, the halyards of a ship;
right	45	— <i>no kaji</i>, the rudder of a ship; — <i>no tomo</i>,
right	46	the poop of a ship; — <i>no omote</i>, the bow of
right	47	a ship; — <i>no ho</i>, the sail of a ship; — <i>no ho-</i>
right	48	<i>bashira</i>, the masts of a ship; — <i>no aka</i>, bilge
right	49	water; — <i>wo kogu</i>, to scull a boat; — <i>wo</i>
right	50	<i>moyau</i>, to lash boats together; — <i>wo kakeru</i>,
right	51	to anchor a ship; — <i>wo magiru</i>, to tack; —
right	52	<i>wa itsu goro demasu</i>, when does the ship sail?
right	53	<i>itsu goro — ga kochira ye tsukimashō ka</i>,
right	54	when do you think the ship will arrive? —
right	55	<i>ga yureru</i>, the boat rocks; — <i>ni noru</i>, to
right	56	embark, or sail in a ship; — <i>ni yō</i>, to be sea-
right	57	sick; — <i>de yuku</i>, to go by ship; <i>ni wo — ni</i>
right	58	<i>tsumu</i>, to load cargo; — <i>no kawara</i>, the flat
right	59	bottom of a boat.
right	60	<b>FUNE-HIKI-MICHI</b> フネヒキミチ <b>路牽 n.</b> A path
right	61	on which men walk in towing boats up a
right	62	river; tow-path.
right	63	<b>FUNEI</b> フネイ <b>不佞 pron.</b> I, in speaking hum-
right	64	bly of one's self.
right	65	Syn. <i>SESSHA</i>.
