column_id	line_number	text
header		Kashmiri-English Dictionary
left	1	akIhA:Th (a) اکہٕ ہأٹھ sixty one
left	2	aki d>h (ad) اکہِ دۄہ one day
left	3	aki laTi (ad) اکہِ لٹہِ once
left	4	akTar (m.) اکٹَر actor
left	5	aktu:bar (m.) اکتوٗبر October
left	6	akli monD (a) عقلہِ مونڈ foolish
left	7	aksar (ad) اکثر often, generally
left	8	akh (a) اکھ one
left	9	akha:DI (m.) اکھاڈٕ field (wrestling
left	10	field), arena
left	11	akhtuy (par) اکھتُے also
left	12	akh dama:h اکھ دَماہ for a while
left	13	(ad)
left	14	akhba:r (m.) اخبار newspaper/
left	15	newspapers
left	16	akh'ur/achur اکھیوُر / letter of an
left	17	(m.) اچھُر alphabet
left	18	agast (m.) اَگست August
left	19	achidA:r (f.s.) اچھِ دأر a doll
left	20	Achida:ri (p)
left	21	achipo:sh (n) اچھ پوش a flower
left	22	atsun (v) اژُن to enter
left	23	atshlratsh (f.s.) اژٕ رژھ dancing girl/
left	24	prostitute, nymph
left	25	atshlratshl (p)
left	26	ajanT (m.) اَجَنٹ agent
left	27	ajal (m.) اَجل death
left	28	ajA:yibgar عجأیب گر museum
left	29	(m.)
left	30	az (ad) اَز today
right	1	azarvun (m.) اَزروُن jealousy
right	2	aza:n (a) اَزان ignorant, unqualified
right	3	aza:b (m.) عَذاب discomfort, torture
right	4	aza:r (m.) اَزار labour pain
right	5	azkal (ad) اَزکَل nowadays,
right	6	these days
right	7	azmat (f.) عز متھ grandeur,
right	8	magnificance
right	9	azta:m (ad) اَزتام upto now, till now
right	10	az paga:h (ad) اَز پَگاہ today or tomorrow
right	11	aTI (n) اٹہٕ rope for the load on
right	12	back
right	13	aTlba:r (m.) اٹہٕ بور load on shoulders/
right	14	back
right	15	aTIhor (m.)  اٹہِ ہۆر an ear ornament
right	16	worn by Kashmiri
right	17	Hindu women
right	18	aTal (a) اَٹَل final, inevitable
right	19	aTh (f.) اَٹھ an ear ornament
right	20	worn by Kashmiri
right	21	Hindu women
right	22	aTho:vuh (a) اَٹھووُہ twenty eight
right	23	aDI (m.) اڑٕ centre, a (vehicle)
right	24	stand
right	25	aDIkajar (n) اڑٕ کَجَر stuttering
right	26	aDIkAj kath اڑٕ کٔج کَتھ stuttering talk
right	27	(f.s.) aDIkaji kathi (p)
right	28	aDIkol اڑٕکۆل one who stutters
right	29	(a.m.s.) aDIkAl' (p)
right	30	aDIkAj (f.s.)
right	31	aDIkaji (p)
right	32	aDun (v) اَڑُن to be adament
footer		9
