column_id	line_number	text
header		លុយ CONTEMPORARY CAMBODIAN លើស
left	1	<b>លុយកាក់</b> money
left	2	<b>លុយដើម</b> capital, principal
left	3	<b>អ្នកកាន់លុយ</b> cashier, treasurer
left	4	<b>លុះ</b> when
left	5	<b>លុះណាតែ</b> on condition that
left	6	<b>លុះតែ</b> only if, on the condition
left	7	that
left	8	<b>លុះត្រាតែ</b> on the contingency that
left	9	provided that, providing
left	10	that, until
left	11	<b>លូ</b> to howl (said of dogs),
left	12	sewage (pipe)
left	13	<b>លូក</b> to reach, put (hand) in
left	14	length from armpit to
left	15	middle fingertip
left	16	<b>លូកចូល</b> to reach in; figuratively
left	17	to enter
left	18	<b>លូកដល់</b> to be able to afford
left	19	<b>លូកដៃ</b> to reach out
left	20	<b>លូកមិនចុះ</b> can't reach
left	21	<b>លូត</b> to grow, become longer,
left	22	lengthen
left	23	<b>លូត</b> to grow, grow bigger and
left	24	taller
left	25	<b>លូតលាស់</b> to bloom, burgeon, grow;
left	26	to progress, prosper,
left	27	spring up; to swell; to
left	28	appear, arise
left	29	<b>លូន</b> to crawl on one's belly,
left	30	crawl, creep
left	31	<b>រត់លូនជាមួយគ្នា</b>
left	32	to struggle against some-
left	33	thing together
left	34	<b>លួង</b> to comfort, console; to
left	35	entice, lure
left	36	<b>លួងលោម</b> to comfort, console; to
left	37	influence
left	38	<b>រង្វាន់លួងចិត្ត</b> consolation prize
left	39	<b>លួងប្រាបាង</b> Luang Prabang (seat of the
left	40	Kings of Laos)(a.w. <b>លួង</b>
left	41	<b>ផ្រៈបាង</b>)
left	42	<b>លួច</b> to sneak; to steal
left	43	<b>លួច</b> + v. to do something without
left	44	letting people know,^to
left	45	do on the sly
right	1	<b>លួចចូល</b> to sneak in
right	2	<b>លួត</b> designating a relative five
right	3	generations ago
right	4	(ascending and descending)
right	5	<b>លួស</b> to trim off, trip off;
right	6	to wire
right	7	<b>លួសបន្លា</b> barbed wire
right	8	<b>ខ្សែលួស</b> wire, telegram
right	9	<b>វាយខ្សែលួស</b> to wire, telegram, send
right	10	cable
right	11	<b>លើ</b> above, over, up, on the
right	12	top
right	13	<b>ខាងលើ</b> upstairs
right	14	<b>លើកំពូល</b> on tops
right	15	<b>ស៊ីលើ</b> to take advantage of some-
right	16	one (= <b>ដេីរខ្សែលើ</b> )
right	17	<b>លើក</b> to lift, remove, raise;
right	18	instance, time
right	19	<b>លើកកូនឱយ</b> to offer one's daughter in
right	20	marriage to someone
right	21	<b>លើកខ្លួន</b> to brag about oneself, put
right	22	on airs
right	23	<b>លើកគ្នា</b> to gather the people to do
right	24	something
right	25	<b>លើកជើង</b> to brown-nose, flatter
right	26	<b>លើកដៃ</b> to raise the hand
right	27	<b>លើកដៃគ្នា</b> to help each other
right	28	<b>លើកតែ</b> except
right	29	<b>លើកទ័ព</b> to mobilize, raise an
right	30	army, muster an army
right	31	<b>លើកទី១</b> the first time
right	32	<b>លើកទឹកចិត្ត</b> to encourage
right	33	<b>លើកទោស</b> to pardon, reduce sentence
right	34	<b>លើកផ្លូវ</b> to build a road
right	35	<b>លើកភ្ញៀវ+</b> v. to have neighbors in
right	36	to help with a task
right	37	<b>លើកលែងតែ</b> except
right	38	<b>លើកលែងទោស</b> acquit, excuse
right	39	<b>លើកអោយ</b> to offer
right	40	<b>លើស</b> to exceed, to surpass,
right	41	pass
right	42	<b>លើសលប់</b> beyond all limits
right	43	<b>ល្អលើសគេ</b> most beautiful
footer		136
