column_id	line_number	text
header		ɳæ˥ ɳɯ˧go˧˥
left	1	<b>ɳ</b>
left	2	<b>ɳæ˥</b> /ɳæ˧/ nae
left	3	<b>VERB</b> Tone: H To hide, to conceal one-
left	4	self. 躲藏 Se cacher. ¶ tʰi˧-ɳæ˥ DUR _
left	5	dur _ DUR
left	6	<b>ɳæ˧˥</b> /ɳæ˧˥/ naeq
left	7	<b>VERB</b> Tone: MH ① To press, to push
left	8	down (with the hand); to press flat, to
left	9	flatten; to squeeze. 按（用手）、压
left	10	扁、挤压 Aplatir ; appuyer, peser sur ; pres-
left	11	ser. ¶ mv̩˩tɕo˧ ɳæ˧˥ to push down, to
left	12	press down 往下按 appuyer vers le bas,
left	13	peser sur ¶ le˧-ɳæ˩∼ɳæ˩ ACCOMP RED
left	14	② <b>To oppress.</b> 压迫 Opprimer, acca-
left	15	bler, écraser de son autorité, en imposer par
left	16	la violence. ¶ hĩ˧ kʰv̩˧, | hĩ˧ ɳæ˩ to steal
left	17	and oppress (description of a despot’s
left	18	behaviour) 偷和迫（描述专制统治者的
left	19	行为） voler et oppresser (description du
left	20	comportement d’un despote)
left	21	<b>ɳæ˩=ɻæ˧</b> /ɳæ˩ɻæ˥/ nae’er
left	22	<b>PRONOUN</b> Tone: LM Second person
left	23	associative plural. 你们家、你们家族
left	24	Deuxième personne, pluriel associatif : vous
left	25	autres. See: ɳæ˧=ɻ̩˩, no˧=ɻ̩˩
left	26	<b>ɳæ˧=ɻ̩˩</b> /ɳæ˧ɻ̩˩/ naelae
left	27	<b>PRONOUN</b> Tone: L# Second person plu-
left	28	ral. This is a variant of no˧=ɻ̩˩; the form
left	29	no˧=ɻ̩˩ is considered more correct. 你
left	30	们。这是no˧=ɻ̩˩的一个变体。no˧=ɻ̩˩被
left	31	认为是更标准的。 Deuxième personne du
left	32	pluriel : vous autres. Variante de no˧=ɻ̩˩; la
left	33	forme no˧=ɻ̩˩ est jugée plus correcte. See:
left	34	ɳæ˩=ɻæ˧, no˧=ɻ̩˩
left	35	<b>-ɳɯ ₂</b> /–/ nee
left	36	<b>CONJUNCTION</b> Tone: 0? Or. 或者、还
left	37	是 Ou, ou alors.
left	38	<b>ɳɯ˥</b> /ɳɯ˧/ nee
left	39	<b>ADJECTIVE</b> Tone: H Few. 少 Peu, peu
left	40	nombreux (dénombrable). ¶ hĩ˧ ɳɯ˧ peo-
left	41	ple are few / there are few people 好
left	42	的，不多！不好的，就很多了！ les gens
right	1	sont peu nombreux ¶ (Phonological elic-
right	2	itation)tso˧∼tso˧ | ɳɯ˧-ze˩ there are
right	3	fewer things, the amount of things has
right	4	decreased 东西（变）少了 il y a moins
right	5	de choses, la quantité a diminué ¶ dʑɤ˩-hĩ˩,
right	6	| le˧-ɳɯ˥! | mɤ˧-dʑɤ˩-hĩ˩, | le˧-dʑɯ˧˥!
right	7	Good one are few; bad ones are many! /
right	8	There are few good ones, but many bad
right	9	ones! (A comment about higher educa-
right	10	tion institutions, among which laureates
right	11	of the national University entrance exam-
right	12	ination are given a choice.) 好的少，不
right	13	好的多！（关于大学：高考后，学生要
right	14	报志愿） Les bons, il n’y en a guère ; les mé-
right	15	diocres, il y en a en quantité ! (contexte : au
right	16	sujet des établissements universitaires entre
right	17	lesquels les lauréats du concours national
right	18	d’entrée à l’université ont à choisir)
right	19	<b>-ɳɯ˧ ₁</b> /ɳɯ˧/ nee
right	20	POSTP Tone: M Ablative, agent, and
right	21	topic marker. 离格（从格），施动者，
right	22	主题。接近汉语的‘由’ Ablatif, agent,
right	23	et marqueur de topique.
right	24	<b>ɳɯ˧˥</b> /ɳɯ˧˥/ neeq
right	25	VERB Tone: MH To wring, to tighten,
right	26	to clamp. 拧 Serrer. ¶ le˧-ɳɯ˧-ze˥
right	27	ACCOMP _ PFV 拧了 ACCOMP _ PFV ¶
right	28	ʁo˧qɑ˥ | ʈʰɯ˧-ɭɯ˧ | le˧-ɳɯ˧-qɑ˥-jo˩!
right	29	Tighten the lid! (of a glass jar, used as
right	30	drinking glass) （你）拧一下盖子吧！
right	31	Serre donc ce couvercle ! (celui d’un bocal en
right	32	verre, utilisé comme verre)
right	33	<b>ɳɯ˧ɕi˩</b> /ɳɯ˧ɕi˩/ nuxie
right	34	ADJECTIVE Tone: L# Lovely. 可爱 Mi-
right	35	gnon, joli.
right	36	<b>ɳɯ˧go˧˥</b> /ɳɯ˧go˧˥/ niggo
right	37	<b>ADJECTIVE</b> Tone: MH# Pitiable,
right	38	wretched, pitiful. 可怜 Pitoyable, qui
right	39	suscite la pitié. ¶ no˧ | ʈʰɯ˧-ki˧ | ɖwæ˧˥
right	40	| ɳɯ˧go˧˥! / …ɖwæ˧˥ | ɳɯ˧go˧ ʝi˥! You
right	41	pity her/him a lot! / You feel a lot of pity
right	42	for her/him! 你真的很可怜他。 Tu la/
right	43	le plains beaucoup ! / Tu as vraiment pitié
footer		168
