column_id	line_number	text
header		DICTIONNAIRE DE LA LANGUE NAHUATL.
header		75
left	1	ou <i>in noyollo</i>, perdre, s'aliéner l'amitié de quelqu'un;
left	2	se résoudre à rejeter une chose, se corriger, s'amen-
left	3	der. RR. <i>cen, tlaça</i>.
left	4	<b>CENTLACATILIZTLI</b>, s. Consanguinité, parenté.
left	5	RR. <i>cen, tlacati</i>.
left	6	<b>CENTLACHIPINILLI</b> ou <b>CENTLACHIPINTLI</b>,
left	7	s. v. Une goutte de liquide. RR. <i>ce, chipini.</i>
left	8	<b>CENTLACHIPINILTONTLI</b> ou <b>CENTLACHIPIN-</b>
left	9	<b>TONTLI</b>, s. dim. des précédents. Une gouttelette.
left	10	<b>CENTLACOL</b> ou <b>CENTLACOTL</b>, s. Moitié, frac-
left	11	tion, portion d'une chose; <i>centlacol icxitl</i>, un demi-
left	12	pied; <i>centlacol metztli</i>, demi-lune; <i>centlacol quama-</i>
left	13	<i>tlatl</i>, demi-réseau; <i>centlacol quauhacaltontli</i>, mesure,
left	14	douzième partie d'une fanèque; <i>centlacollatamachiua-</i>
left	15	<i>loni</i>, demi-livre. RR. <i>ce, tlacoa</i>.
left	16	<b>CENTLACOLHUIA</b>, p. <span>OCENTLACOLHUI</span> : <i>nite</i> — se
left	17	partager avec quelqu'un une chose par moitié. R.
left	18	<i>centlacoloa</i>.
left	19	<b>CENTLACOLOA</b>, p. <span>OCENTLACOLO</span> : <i>nitla</i> — diviser,
left	20	couper une chose par le milieu. R. <i>centlacol</i>.
left	21	<b>CENTLACOTL</b>. <i>Voy.</i> <b>CENTLACOL</b>.
left	22	<b>CENTLAÇOTL</b>, s. Un point d'aiguille. RR. <i>ce,</i>
left	23	<i>tlaçotl</i>.
left	24	<b>CENTLAÇOTLA</b>, p. <span>OCENTLAÇOTLAC</span> : <i>nite</i> — aimer
left	25	quelqu'un extrêmement; <i>nota</i>, <i>nonan niquiz-centlaço-</i>
left	26	<i>tla</i>, j'aime bien mon père, ma mère. RR. <i>cen, tlaçotla.</i>
left	27	<b>CENTLACOTONTLI</b>, s. dim. de <span>CENTLACOL</span>. Un
left	28	morceau, une pièce, un fragment.
left	29	<b>CENTLACUENTECTLI</b>, s. v. Une planche de terre.
left	30	RR. <i>ce, cuenteca</i>.
left	31	<b>CENTLACUITLALPILLI</b>, s. Une poignée, un pa-
left	32	quet de choses menues. RR. <i>ce, tlacuitlalpilli</i>.
left	33	<b>CENTLACUITLALPILTONTLI</b>, s. dim. de <span>CEN-</span>
left	34	<span>TLACUITLALPILLI</span>. Une petite poignée, un petit paquet
left	35	de choses menues.
left	36	<b>CENTLACUITLANAUATECTLI</b>, adj. Qui a la
left	37	grosseur d'une brasse; <i>centlacuitlanauatectli quauitl</i>,
left	38	arbre de la grosseur d'une brasse. RR. <i>ce, tlacuia,</i>
left	39	<i>tlanauatectli</i>.
left	40	<b>CENTLACXITL</b>, s. Mesure de longueur, un pas
left	41	ordinaire (passo del que anda). RR. <i>ce, icxitl</i>.
left	42	<b>CENTLAYAUALOLLI</b>, s. v. Un paquet, tout ce
left	43	qui est rassemblé, lié ensemble; <i>centlayaualolli centli</i>,
left	44	un paquet d'épis de maïs. RR. <i>ce, tlayaualoa</i>.
left	45	<b>CENTLAIXTLAPANTLI</b>, s. v. Moitié d'une chose
left	46	coupée, sciée par le milieu. RR. <i>centlacol, ixtlapana.</i>
left	47	<b>CENTLAIXTLI</b>, s. Une chose mince, un feuillet
left	48	de livre. RR. <i>ce, ixtli.</i>
left	49	<b>CENTLAIXXOTL</b>, s. Simplicité, état d'une chose
left	50	mince. R. <i>centlaixtli</i>.
right	1	<b>CENTLALCAUIA</b>, p. <span>OCENTLALCAUI</span> : <i>nitla</i> ou <i>nic</i>
right	2	— abandonner, délaisser complétement une chose.
right	3	RR. <i>cen, tlalcauia.</i>
right	4	<b>CENTLALIA</b>, p. <span>OCENTLALI</span> : <i>nino</i> -- se réunir, se
right	5	rassembler; <i>mo-centlalia</i>, ils se réunissent; cela s'ad-
right	6	ditionne, se totalise; <i>teca nino-centlalia</i>, conspirer
right	7	contre quelqu'un. <i>Ninotla</i> — s'examiner, faire son
right	8	examen de conscience. <i>Nite</i> ou <i>nic</i> — réunir, ras-
right	9	sembler des personnes; <i>niquiz-centlalia</i> (pour <i>niquin-</i>
right	10	<i>centlalia</i>) (Car.), je les rassemble. <i>Nitla</i> ou <i>nic</i> —
right	11	amasser, entasser, recueillir des choses; <i>nic-centlalia</i>
right	12	<i>noyollo</i> ou <i>in noyollo</i>, se déterminer à une chose,
right	13	prendre la résolution de s'amender. RR. <i>cen, tlalia.</i>
right	14	<b>CENTLALILLI</b>, s. v. Monceau, amas, tas (d'épis
right	15	de maïs, etc.). R. <i>centlalia</i>.
right	16	<b>CENTLALPILLI</b>, s. Une rame (de papier, etc.),
right	17	une poignée, un paquet de choses menues. RR. <i>ce,</i>
right	18	<i>tlalpilli</i>.
right	19	<b>CENTLALPILTONTLI</b>, s. dim. de <span>CENTLALPILLI</span>.
right	20	Une petite poignée, un petit paquet.
right	21	<b>CENTLALTECTLI</b>, s. Une gorgée. RR. <i>ce, tlal-</i>
right	22	<i>tectli</i>.
right	23	<b>CENTLALTEQUILIZTLI</b>, s. Une gorgée. RR. <i>ce,</i>
right	24	<i>tlaltequiliztli</i>.
right	25	<b>CENTLALTEQUILIZTONTLI</b>, s. dim. de <span>CENTLAL-</span>
right	26	<span>TEQUILIZTLI</span>. Une petite gorgée.
right	27	<b>CENTLAMACHTIA</b>, p. <span>OCENTLAMACHTI</span> : <i>nite</i> —
right	28	glorifier, enrichir quelqu'un. <i>Nitla</i> ou <i>nic</i> — jouir
right	29	d'une chose. RR. <i>cen, machtia</i>.
right	30	<b>CENTLAMAMANQUIZQUI</b>, adj. fréq. de <span>CENTLA-</span>
right	31	<span>MANQUIZQUI</span>. Divers, différent.
right	32	<b>CENTLAMANQUIZQUI</b>, adj. Particulier, diffé-
right	33	rent. RR. <i>centlamantli</i>, <i>quiça</i>.
right	34	<b>CENTLAMANTLI</b>, adj. n. Un, une (partie, paire,
right	35	ou chose différente d'une autre); <i>centlamantli tona-</i>
right	36	<i>cayo</i>, un membre, une partie du corps; <i>centlamantli</i>
right	37	<i>neneuhque</i>, partie de deux choses égales; <i>oc centla-</i>
right	38	<i>mantli</i>, autre chose, d'une autre manière; <i>oc no cen-</i>
right	39	<i>tlamantli</i>, encore autre chose; <i>oc cenca centlamantli</i>,
right	40	bien différent, tout autre chose. Plur. <i>centlamantin</i>,
right	41	un grand nombre, un troupeau, un attelage, etc. :
right	42	<i>centlamantin yaoquizque</i>, un escadron de soldats; <i>cen-</i>
right	43	<i>tlamantin ichcame</i>, un troupeau de brebis; <i>centlamantin</i>
right	44	<i>quaquaueque</i>, un troupeau de bœufs ou de vaches;
right	45	<i>centlamantin oztomecacauallome</i>, une troupe de bêtes
right	46	de somme. RR. <i>ce, tlamantli</i>.
right	47	<b>CENTLAMAPICTLI</b>, s. Une poignée (de pois
right	48	chiches, ou de choses semblables). RR. <i>ce, tlamapictli.</i>
right	49	<b>CENTLAMATZOLLI</b> ou <b>CENTLAMATZOLOLLI</b>,
