column_id	line_number	text
header		ਕੂਚਾ
header		ਕੂਲ੍ਹ
header		ਕੇਲਾ
header		107
left	1	<b>ਕੁੜਮਾਈ</b>kuṛmáˌí, <i>s. f.</i> Betroth-
left	2	ment; <b>ਕੁੜਮਾਈ ਕਰਨੀ,</b> to betroth.
left	3	<b>ਕੁੜਮਾਚਾਰੀ</b> kuṛmácháˌrí, <i>ad.</i> Af-
left	4	ter the manner of <i>kuram</i>, agree-
left	5	ably to its usages or customs.
left	6	<b>ਕੁੜਿੱਕੀ</b> kuṛikˌkí, <i>s. f.</i> A net,
left	7	entanglement, difficulty; power,
left	8	control; <b>ਕੁੜਿੱਕੀ ਵਿਚ ਆਉਣਾ,</b>
left	9	to be caught in a net, to fall
left	10	into a difficulty, to come into
left	11	one's power.
left	12	<b>ਕੁੜੀ</b> kuˌṛí, <i>s. f.</i> A girl, a daugh-
left	13	ter, a virgin.
left	14	<b>ਕੁੜੇ</b> kuˌṛe <i>inter.</i> O girl, O daugh-
left	15	ter, O virgin; O such a one; a
left	16	sound made to drive away fowls.
left	17	<b>ਕੂਆ</b> kúˌá, <i>s. m.</i> A well, a pit.
left	18	<b>ਕੂਈ </b> kuˌí, <i>s. f.</i> A small well.
left	19	<b>ਕੂਹਣ </b> kuˌhaṇ, <i>s. f.</i> A grain pit.
left	20	<b>ਕੂਹਣੀ </b> kúhˌṇí, <i>s. f.</i> The elbow.
left	21	<b>ਕੁਹਨ</b> kúhn, } <i>s. m.</i> A small
left	22	<b>ਕੁਹਨਾ</b> kúhˌná, } <i>mashak</i>, (leather
left	23	bottle; ) (<i>met.</i>) the belly.
left	24	<b>ਕੁਹਲ</b> kúhl, <i>s. f.</i> A small canal.
left	25	<b>ਕੂਹੀ</b> kúˌhí, <i>s. f.</i> A bird of prey.
left	26	<b>ਕੂਹੁਲ </b> kúˌhul, <i>s. f.</i> A small canal.
left	27	<b>ਕੂਹੁੰ</b> kúˌhuṉ, <i>pron.</i> Some, any,
left	28	<b>ਕੂੰਹ</b> kúṉh, } something, any thing,
left	29	<b>ਕੂੰਹੁ </b> kúṉˌhu,} a little.
left	30	<b>ਕੂਕ</b> kúk, <i>s. f.</i> A shriek, a cry,
left	31	loud weeping.
left	32	<b>ਕੂੰ ਕੂੰ ਕਰਨਾ</b> kúṉˌ kúṉˌ karˌná, <i>v. n.</i>
left	33	To whine, (as a pup.)
left	34	<b>ਕੂਕਣਾ</b> kúkˌṇá, } <i>v. n.</i> To
left	35	<b>ਕੂਕ ਮਾਰਨੀ</b> kúk márˌní, } weep
left	36	aloud, to cry, to shriek.
left	37	<b>ਕੂਚ</b> kúch, <i>s. m.</i> Marching; a
left	38	goldsmith's brush; <b>ਕੂਚ ਕਰਨਾ,</b> to
left	39	march; to die.
left	40	<b>ਕੂਚਣਾ</b> kúchˌṇá, <i>v. a.</i> To scour,
left	41	to rub, to cleanse.
left	42	<b>ਕੂਚਾ</b> kúˌchá, <i>s. m.</i> A street, a
left	43	lane, (of a city; ) a brush, a bun-
left	44	dle of straw, a faggot; <b>ਕੂਚਾ ਮਾਰ-</b>
left	45	<b>ਨਾ,</b> to brush, to cleanse; <b>ਕੂਚਾ ਲਾ-</b>
left	46	<b>ਉਣਾ,</b> to apply a faggot, to kin-
left	47	dle, to burn.
middle	1	<b>ਕੂਚੀ</b> kúˌchí, <i>s. f.</i> A small brush,
middle	2	a whitewash brush; <b>ਕੂਚੀ ਫੇਰਨੀ</b>
middle	3	or <b>ਮਾਰਨੀ,</b> to brush, to cleanse, to
middle	4	whitewash.
middle	5	<b>ਕੂਚੇਬੰਦੀ</b> kúchebanˌdí, <i>s. f.</i> A
middle	6	large gate for closing a street.
middle	7	<b>ਕੂੰਜ</b> kúnyj, <i>s. f.</i> A large ash-
middle	8	colored water bird.
middle	9	<b>ਕੂੰਜੜਾ</b> kúnyjˌṛá, <i>s. m.</i> A vege-
middle	10	table huckster; an impertinent,
middle	11	talkative, shameless person.
middle	12	<b>ਕੂਜਾ</b> kúˌjá, <i>s. m.</i> An earthen
middle	13	water pot, an earthen cup in which
middle	14	sugar candy is crystallized, a cup
middle	15	of sugar candy.
middle	16	<b>ਕੂਜੀ</b> kúˌjí, <i>s. f.</i> An earthen wa-
middle	17	ter pot with a spout.
middle	18	<b>ਕੂਜੀਗਰ</b> kújígarˌ <i>s. m.</i> A potter.
middle	19	<b>ਕੂੰਟ</b> kúņṭ, <i>s. f.</i> A corner, side,
middle	20	direction.
middle	21	<b>ਕੂੰਡਣਾ</b> kúṇḍṇá, <i>v. a.</i> To eat.
middle	22	<b>ਕੂੰਡਾ</b> kúṇˌḍá, <i>s. m.</i> A large earth-
middle	23	en pan, a large flat stone vessel.
middle	24	<b>ਕੁੰਡਾਉਣਾ</b> kúṇḍáˌuṇá, <i>v. a.</i> To
middle	25	cause to be eaten.
middle	26	<b>ਕੂੰਡੀ</b> kúṇˌḍí, <i>s. f.</i> A small earth-
middle	27	en pan, a flat stone vessel.
middle	28	<b>ਕੂਣ </b> kúṇ, <i>s. f.</i> }
middle	29	<b>ਕੂਣਾ </b> kúˌṇá, <i>s. m.</i> } A corner.
middle	30	<b>ਕੂਣਾ</b> kúˌṇá, <i>v. n.</i> To speak, to say.
middle	31	<b>ਕੂਤ</b> kút, <i>s. m.</i> Food, aliment,
middle	32	subsistence, livelihood.
middle	33	<b>ਕੂਤੀ</b> kúˌtí, <i>s. f.</i> A box of grapes.
middle	34	<b>ਕੂੰਬਲ਼</b> kúmˌbaḷ, } <i>s. f.</i> A young
middle	35	<b>ਕੂਮਲ਼</b> kú,maḷ, } shoot, a bud,
middle	36	an unblown flower.
middle	37	<b>ਕੂਮਲ</b> kúmal, <i>a.</i> Soft, tender,
middle	38	mild.
middle	39	<b>ਕੂਮਲਤਾਈ</b> kúmaltáˌí, <i>s. f.</i> Soft-
middle	40	ness, tenderness, mildness.
middle	41	<b>ਕੂਮਲੀ</b> kúˌmalí, <i>s. f.</i> A young
middle	42	shoot, a bud, an unblown flower;
middle	43	the tip of the nose.
middle	44	<b>ਕੂਰ ਕੂਰ ਕਰਨਾ</b> kúrˌ kúrˌ karˌná,
middle	45	<i>v. a.</i> To call a pup.
middle	46	<b>ਕੂਲ੍ਹ</b> kúlh, <i>s. f.</i> A brook, a rivu-
middle	47	let, a canal; <i>i. q.</i> <b>ਕੁਹਲ.</b>
right	1	<b>ਕੂਲ਼ਾ</b> kúˌḷá, } <i>a.</i> Soft, tender,
right	2	<b>ਕੂੰਲ਼ਾ</b> kúṉˌḷá, } mild.
right	3	<b>ਕੂੜ</b> kúṛ, <i>s. m.</i> A lie, falsehood;
right	4	<b>ਕੂੜ ਬੋਲਣਾ,</b> to lie.
right	5	<b>ਕੂੜਾ</b> kúˌṛá, <i>s. m.</i> Dust raised by
right	6	sweeping, sweepings, dirt, rub-
right	7	bish; <b>ਕੂੜਾ ਕਟਕ</b> or <b>ਕਟਕਾ,</b> sweep-
right	8	ings, rubbish, litter.
right	9	<b>ਕੂੜਾ</b> kúˌṛá, <i>a.</i> False, lying.
right	10	<b>ਕੇ</b> ke, <i>conj.</i> Or.
right	11	<b>ਕੇ</b> ke, <i>particle.</i> Of.
right	12	<b>ਕੇਉੜਾ</b> keˌuṛá, <i>s. m.</i> The name
right	13	of a flower.
right	14	<b>ਕੇਸ</b> kes, <i>s. m.</i> Hair of the head;
right	15	<b>ਕੇਸ ਹਰੇ ਕਰਨੇ,</b> to wash the hair.
right	16	<b>ਕੇਸਰ</b> keˌsar, <i>s. m.</i> Saffron.
right	17	<b>ਕੇਸਰਯਾ</b> keˌsaryá, } <i>a.</i> Saff-
right	18	<b>ਕੇਸਰਿਯਾ</b> kesaˌriyá, } ron colored,
right	19	yellow.
right	20	<b>ਕੇਸਰੀ</b> keˌsarí, <i>a.</i> Of the color of
right	21	saffron.
right	22	<b>ਕੇਸਾ ਕੇਸੀ</b> keˌsá keˌsí, <i>s. f.</i> Tear-
right	23	ing each other's hair, mutual
right	24	fighting.
right	25	<b>ਕੇਸਾਧਾਰੀ</b> kesádháˌrí, <i>s. m.</i> One
right	26	who has hair on his head, one who
right	27	never has had his hair shaven.
right	28	<b>ਕੇਸੂ</b> keˌsú, <i>s. m.</i> The flower of
right	29	the tree <i>dhák</i>; <b>ਕੇਸੂ ਫੁੱਲਣੇ,</b> to
right	30	come forth, (blossoms of <i>dhák</i>; )
right	31	to be fearful.
right	32	<b>ਕੇਹਰ</b> keˌhar, <i>s. m.</i> A lion.
right	33	<b>ਕੇਹਰਨੀ</b> keˌharní, <i>s. f.</i> A lioness.
right	34	<b>ਕੇਹਰੀ</b> keˌharí, <i>a.</i> Of a lion, like
right	35	a lion.
right	36	<b>ਕੇਡ</b> keḍ, } <i>a.</i> How much? how
right	37	<b>ਕੇਡਾ</b> keˌḍá, } large? how long?
right	38	<b>ਕੇਡਾਕੂ</b> keˌḍáku, <i>a.</i> About how
right	39	large? &c.
right	40	<b>ਕੇਤਕੀ</b> keˌtakí, <i>s. f.</i> The name
right	41	of a tree; also of its flower.
right	42	<b>ਕੇਤਲੀ</b> keˌtalí, <i>s. f.</i> A kettle.
right	43	<b>ਕੇਰਨਾ</b> kerˌṇá, <i>v. a.</i> To pour, to
right	44	scatter, to spread.
right	45	<b>ਕੇਰਾ</b> keˌrá, <i>s. m.</i> A kind of salt
right	46	unfit to be eaten.
right	47	<b>ਕੇਲਾ</b> keˌlá, <i>s. m.</i> A plantain.
