column_id	line_number	text
header		89 towë
left	1	<b>tïɛ̈cë</b> [tⁱꜜɛ̤́ɟé̤] pos.pl of <b>tïc</b> feast
left	2	<b>tïɛ̈ï</b> [tⁱɛ̤̀ⁱ] pos.sg of <b>tïc</b> feast
left	3	<b>tïɛ̈kë</b> pos.pl of <b>tïk₂</b> cloudy day
left	4	<b>tïɛ̈r</b> pl. of <b>tiɛɛr</b> clitoris
left	5	<b>tïɛ̈rë</b> pos.pl of <b>tiɛɛr</b> clitoris
left	6	<b>tïɛ̈t</b> [tⁱɛ̤̀t] <i>n</i> 1) magician 2)
left	7	traditional religion <b>tït</b> [ti̤t]
left	8	{<b>tïït</b>}
left	9	<b>tïɛ̈t waal</b> <i>n</i> healer, medicine man
left	10	<b>tït waal</b> (<b>tïɛ̈t</b> 1 magician, <b>wɛ̈ɛ̈l₁</b>
left	11	herbs, medicine, drug)
left	12	<b>tïɛ̈u₁</b> pl. of <b>tïk₂</b> cloudy day
left	13	<b>tïɛ̈u₂</b> pos.sg of <b>tïk₁</b> chin
left	14	<b>tïɛ̈u₃</b> pos.sg of <b>tïk₂</b> cloudy day
left	15	<b>tïɛ̈wë</b> pl. of <b>tïk₁</b> chin
left	16	<b>tïɛ̈ɛ̈c</b> [tⁱɛ̤́ɛ̤́c] <i>v.tr</i> make s.m. tight
left	17	(<b>tïïc</b> be tight)
left	18	<b>tïɛ̈ɛ̈t₁</b> pos.sg of <b>tïït₁</b> mahogany
left	19	tree
left	20	<b>tïɛ̈ɛ̈t₂</b> [tⁱꜜɛ̤́ɛ̤́t] <i>v.in</i> understand (<b>tiit</b>
left	21	understand s.m.)
left	22	<b>tïɛ̈ɛ̈th</b> [tⁱꜜɛ̤́ɛ̤́t̪] <i>v.in</i> pour (<b>tiith</b>
left	23	pour s.m.)
right	1	<b>tïk₁</b> [tí̤k] {<b>tïɛ̈u</b>} <i>n</i> chin <b>tïɛ̈wë</b>
right	2	[tì̤ɛ̤́wê̤]
right	3	<b>tïk₂</b> [tì̤k] {<b>tïɛ̈u</b>} <i>n</i> cloudy day <b>tïɛ̈u</b>
right	4	[tⁱɛ̤ᵘ] {<b>tïɛ̈kë</b>}
right	5	<b>tïɔ̈₁</b> [tⁱɔ̤́] <i>dem</i> those (near hearer)
right	6	(<b>ɔ</b> that)
right	7	<b>tïɔ̈₂</b> [tⁱɔ̤́] <i>pron.dem</i> those (near
right	8	hearer) (<b>muɔ</b> that)
right	9	<b>tït</b> pl. of <b>tïɛ̈t</b> magician, traditional
right	10	religion
right	11	<b>tït waal</b> pl. of <b>tïɛ̈t waal</b> healer
right	12	<b>tïïc</b> [tì̤ì̤c] <i>v.in</i> be tight (<b>tïɛ̈ɛ̈c</b>
right	13	make s.m. tight)
right	14	<b>tïït₁</b> [tì̤ì̤t] {<b>tïɛ̈ɛ̈t</b>} <i>n</i> mahogany tree
right	15	<b>tïïtë</b> [tì̤ì̤dé̤]
right	16	<b>tïït₂</b> pos.pl of <b>tïɛ̈t</b> magician,
right	17	traditional religion
right	18	<b>tïïtë</b> pl. of <b>tïït₁</b> mahogany tree
right	19	<b>todɔ̈</b> <i>pron</i> they
right	20	<b>tou₁</b> pos.sg of <b>tök</b> laugh
right	21	<b>tou₂</b> <i>v</i> serve, devide (food)
right	22	<b>towë</b> pos.pl of <b>tök</b> laugh
