column_id	line_number	text
header		222
left	1	<b>wa:wun-ŋu</b> <i>N</i> (proper) owner, one in
left	2	possession; (with kin term:)
left	3	actual. <b>wa:wun-ŋu + ṋi:</b> You are
left	4	in charge (of it); You are
left	5	keeping (it) all for yourself.
left	6	<b>wa:y?</b> <i>N</i> worm or similar creature,
left	7	found at the edges of billabongs
left	8	and used for bait.
left	9	<b>waya</b> <i>N</i> wire, wire spear (loanword).
left	10	<b>wayala</b> <i>N</i> swamp; flat country.
left	11	<b>wa:yin</b> <i>N</i> 1. meat.
left	12	2. game animal (e.g. kangaroo,
left	13	emu). <i>Cogn</i> <b>Nunggubuyu wa:yin</b>
left	14	'emu'; <b>ḓay?yi wa:yin</b> 'bird'.
left	15	<b>waykaḍa</b> <i>N</i> jungle-fowl. <i>Syn</i>
left	16	<b>baḍakawk</b>.
left	17	<b>way?-yu-</b> <i>V5tr</i> to rebuke; to
left	18	dissuade (by rebuking).
left	19	<b>wi:č</b> <i>N</i> gift, giving. (See Text
left	20	33.2) <b>wič-miṛiw</b> greedy, not
left	21	generous. <b>wič-ḓarpal-ŋu</b>
left	22	generous, munificent.
left	23	<b>wiḍijir?wiḍijir</b> <i>N</i> wren.
left	24	<b>wiḍipiyaŋ?</b> <i>N</i> one; once.
left	25	<b>wiḍi?-yu-</b> <i>V5intr</i> to become lost.
left	26	<b>ṛay-wiḍi?-yu-</b> to become lost
left	27	with; to abscond with.
left	28	<b>wilaŋ?-gu-</b> <i>V5tr</i> to take out of a
left	29	fire. <b>gaw?-wilaŋ?-gu-</b> to beckon
left	30	to, to summon (Dative) by
left	31	waving the hand or calling.
left	32	<b>wilikwilik</b> <i>N</i> galah (large parrot).
left	33	<b>wilwil-yu-</b> <i>V5intr</i> to shake, to
left	34	tremble.
left	35	<b>wiḷi?wiḷi</b> <i>N</i> a fairly large bird
left	36	said to have a red breast and
left	37	yellowish back.
left	38	<b>wiḷmur</b> <i>N</i> wire spear. <i>Syn</i>
left	39	<b>jimiṇḍi?</b>, <b>waya</b>.
left	40	<b>wiṇ?gu</b> <i>N</i> left. <b>bala-wiṇ?gu</b> left
left	41	side. <i>Cf.</i> <b>jarpuḍay?</b>, <b>jarpi</b>.
left	42	<b>wiñgura</b> <i>N</i> name applied to people
left	43	of Groote Eylandt and their
left	44	language. <i>Cogn</i> <b>Nunggubuyu iñgura</b>.
right	1	<b>wiñinwiñin</b> <i>N</i> sandfly, gnat.
right	2	<i>Syn</i> <b>manjiri</b>, <b>ḓupḓup</b>.
right	3	<b>wiričwirič</b> <i>N</i> varied lorikeet
right	4	(parrot with red patch on top
right	5	of head).
right	6	<b>wiriṛwiriṛ</b> <i>N</i> parrot sp., perhaps
right	7	cockatiel (grey parrot).
right	8	<b>wirji?</b> <i>N</i> dreaming, totem.
right	9	<i>Syn</i> <b>ḓa:la</b>.
right	10	<b>wirki</b> <i>Part</i> a lot. Often used
right	11	as an untranslatable particle
right	12	at the end of a sentence.
right	13	<b>wirkul</b> <i>N</i> young girl (before
right	14	puberty).
right	15	<b>wirŋgiṇ</b> <i>N</i> a kind of devil, said
right	16	to look like a jabiru (<b>ganji</b>),
right	17	which often steals children.
right	18	<b>wir?wir-u-</b> <i>V5intr</i> (wind) to
right	19	whistle. <i>Syn</i> <b>biru?bir-u-</b>.
right	20	<b>wir-yu-</b> <i>V5tr</i> to scrape.
right	21	<i>Syn</i> <b>ṛa:č-u-</b>.
right	22	<b>wir?-yu-</b> <i>V5intr</i> (leaf) to fall.
right	23	<b>wiṛič</b> <i>N</i> rainbow fish <i>sp.</i>
right	24	<b>wiṛiñ?-ju-</b> <i>V5tr</i> to scrape
right	25	(spear).
right	26	<b>wiṛipu</b> <i>N</i> other, different.
right	27	<b>bala-wiṛipu-ŋuṛu?</b> on ('from')
right	28	the other side. <i>Cf.</i> <b>ḷaypa</b>.
right	29	<b>wiṛ?-yu-</b> <i>V5intr</i> to whistle.
right	30	<b>wit-ḓu-</b> <i>V5intr</i> to get up, to
right	31	rise. <b>waṇa-wit-ḓu-</b> to have
right	32	arms (or wings) raised. Caus
right	33	<b>wit-(ḓu-n-)maṛa-</b> to hold (e.g.
right	34	arms) in outstretched or raised
right	35	position. <i>Rdp</i> <b>wiṱu?-wit-ḓu-</b>.
right	36	<b>wi:ṭi?</b> <i>N</i> female agile wallaby
right	37	(<b>baraŋgal</b>).
right	38	<b>wiyaṭ-ḍu-</b> <i>V5intr</i> to feel sorry
right	39	for (Dative).
right	40	<b>wiyin</b> <i>N</i> long.
right	41	<b>wubur?</b>, <b>wu:bur?</b> <i>N</i> sweat.
right	42	<b>wuḍač-u-</b> <i>V5intr</i> to cease, to
