column_id	line_number	text
header		Root - shk-flex
header		file:///C:/Users/Bakhita%20Otto/AppData/Local/Temp/DictionaryPreview/sh...
single	1	<b>adälø</b> <i>cf:</i> <b>adällï</b> . (<i>N</i>)(<i>Sglt5</i> ) gourd, jug used to carry water or milk (sem. domains: 6.7.3 -
single	2	Carrying tool, 1.3.2.2 - Pour, 4.2.3.5 - Musical instrument, 8.2.5.1 - Big container, volume.)
single	3	<b>aded</b> (<i>N</i>) root of papyrus plant (sem. domains: 1.5.5 - Parts of a plant.)
single	4	<b>ádeder</b> (<i>N</i>) insect, small grasshopper? (sem. domains: 1.5.7 - Plant diseases.)
single	5	<b>àdëg</b> (<i>N</i>) scab (sem. domains: 2.2.5 - Bleed, blood.)
single	6	<b>adegø</b> (<i>N</i>) grass eaten by cows (sem. domains: 5.2.3.1.1 - Food from seeds.)
single	7	<b>adëgø</b> (<i>N</i>)(<i>SgltC</i> ) burned part of food (sem. domains: 5.2.1 - Food preparation, 8.3 -
single	8	Quality.)
single	9	<b>adelgarø</b> (<i>Adj</i> ) paralyzed (sem. domains: 2.4.2 - Weak.)
single	10	<b>ádëlpär ádëëlpäär</b> (<i>N</i>) spinach (sem. domains: 6.2.1.3 - Growing vegetables, 1.5.3 - Grass,
single	11	herb, vine.)
single	12	<b>adengø</b> (<i>N</i>)(<i>SgltC</i> ) Guinea millet (sem. domains: 6.3.1.1 - Cattle, 1.5.3 - Grass, herb, vine.)
single	13	<b>adenyangø</b> (<i>N</i>) hunger first thing in the morning (sem. domains: 5.2.2.5 - Hungry, thirsty.)
single	14	<b>adergwøg</b> (comp. of <b>aderø</b>, <b>gwøg₁</b> (comp. of <b>wïje tädø ki gwøg</b>), see under <b>aderø</b>)
single	15	<b>aderø</b> <i>cf:</i> <b>aderr</b> . (<i>N</i>)(<i>Sglt3</i> ) 1) lifting tool, lever (sem. domains: 6.7.4 - Lifting tool.) 2)
single	16	ass, donkey (sem. domains: 6.3.1 - Domesticated animal, 1.6.1.1.3 - Hoofed animals, 6.3.1.7
single	17	- Beast of burden.)
single	18	<b>adergwøg</b> (<i>comp.</i>) <i>N</i> energetic person (sem. domains: 2.4.3 - Energetic.)
single	19	<b>aderr</b> <i>cf:</i> <b>aderø</b> . (<i>N</i>)(<i>Sglt3</i> ) levers, donkeys
single	20	<b>adhädh</b> (<i>N</i>)(<i>Sg2</i> ) bottle (sem. domains: 2.3.1.9 - Something used to see, 2.3.1.7 - Reflect,
single	21	mirror, 6.7.7 - Container.)
single	22	<b>adhädhhï</b> (unspec. comp. form) <i>N</i> bottles (sem. domains: 2.3.1.9 - Something used to see,
single	23	2.3.1.7 - Reflect, mirror, 6.7.7 - Container.)
single	24	<b>adhädhhï</b> (unspec. comp. form of <b>adhädh</b>)
single	25	<b>ádhäg</b> <i>cf:</i> <b>ádhägø</b> . (<i>N</i>)(<i>Sglt2</i> ) kind of yam (sem. domains: 5.2.3.1.5 - Food from roots.)
single	26	<b>ádhägø</b> <i>cf:</i> <b>ádhäg</b> . (<i>N</i>)(<i>Sglt2</i> ) kind of yam; root plant eaten by children (sem. domains:
single	27	6.2.1.3 - Growing vegetables.)
single	28	<b>adhälli</b> (<i>N</i>) difficult; complicated (sem. domains: 7.5.8 - Simple, complicated.)
single	29	<b>adhaw</b> (<i>Arabic</i>) (<i>N</i>) pistol, revolver
single	30	<b>adhëg</b> <i>cf:</i> <b>adhëgg</b> . (<i>N</i>)(<i>Sg1</i> ) grey-backed fiscal shrike; necklace of sky-blue beads about
single	31	one cm in diameter lanius excubitoroides (sem. domains: 8.3.3.3.4 - Colors of the spectrum,
single	32	1.6.1.2 - Bird, 5.4.1 - Jewelry.)
single	33	<b>adhëgg</b> <i>cf:</i> <b>adhëg</b> . (<i>N</i>)(<i>Sg1</i> ) Grey-backed Fiscal Shrikes; necklaces with sky-blue beads
single	34	lanius excubitoroides (sem. domains: 1.6.1.2 - Bird, 5.4.1 - Jewelry.)
single	35	<b>adheng</b> (<i>N</i>) generous person (sem. domains: 4.3.4.4 - Altruistic, selfless.)
single	36	<b>adhïdheg</b> (<i>N</i>) armor made of metal (sem. domains: 4.4.4.5 - Protect.)
single	37	<b>adhïm ádhim</b> (ARB) (<i>N</i>) mattock; digging hoe (sem. domains: 6.6.6 - Working with land,
single	38	6.2.8 - Agricultural tool, 6.7.1.2 - Digging tool.)
single	39	<b>adhødhø</b> (<i>N</i>)(<i>SgltC</i> ) wild red fruit found in forest (sem. domains: 6.2.1.4.1 - Growing
single	40	grapes, 5.2.3.1.2 - Food from fruit.)
single	41	<b>adhøkwer</b> (<i>N</i>) African Spoonbill Platalea alba (sem. domains: 1.6.1.2 - Bird.)
single	42	<b>adhøkyel</b> (<i>N</i>) chief's house when visiting Pacoda (sem. domains: 4.6.3 - Government
single	43	organization, 4.6.1 - Ruler, 4.5.6.1 - High status, 4.5.2 - Have authority.)
single	44	<b>adhudh</b> <i>cf:</i> <b>adhudhh</b> . (<i>N</i>)(<i>Sg1</i> ) beeswax (sem. domains: 1.6.5 - Animal home, 1.2.3.2 -
single	45	Oil, 6.4.4 - Beekeeping, 1.6.1.7 - Insect.)
single	46	<b>adhudhh</b> <i>cf:</i> <b>adhudh</b> . (<i>N</i>)(<i>Sg1</i> ) beeswax (plural) (sem. domains: 1.6.5 - Animal home,
single	47	5.2.3.2 - Food from animals, 1.2.3.2 - Oil, 6.4.4 - Beekeeping, 1.6.1.7 - Insect.)
single	48	<b>adhuki</b> (<i>N</i>) carved gourd (sem. domains: 2.6.5.1 - Man, 5.6 - Cleaning, 5.1 - Household
single	49	equipment.)
single	50	<b>adhuryëb</b> (comp. of <b>dhur</b>, <b>yëb</b>, see under <b>dhur</b>)
single	51	<b>adhwäng</b> (<i>Adj</i> ) generous; benevolent; kind; good samaritan (sem. domains: 2.6.5.1 - Man,
footer		7 of 256
footer		20/06/2023, 10:03
