column_id	line_number	text
header		అవశ్య 64 అవినీ
left	1	<b>అవశ్యముగా,</b> <i>adv.</i> Necessarily ; cer-
left	2	tainly, surely, positively.
left	3	<b>అవష్టంభము,</b> <i>n.</i> Support, prop, stay;
left	4	a post, pillar.
left	5	<b>అవసడి,</b> <i>n.</i> Calumny, reproach.
left	6	<b>అవసధము,</b> <i>n.</i> A house, habitation.
left	7	<b>అవసన్నము,</b> <i>a.</i> Ended, terminated.
left	8	<b>అవసరపడు,</b> <i>v. i.</i> To hurry, hasten.
left	9	<b>అవసర పెట్టు,</b> <i>v. t.</i> To hasten, hurry,
left	10	expedite, quicken.
left	11	<b>అవసరము,</b> <i>n.</i> Occasion, opportunity,
left	12	time ; necessity, need, urgency ;
left	13	haste, hurry. —<i>a.</i> Necessary,
left	14	urgent, required.
left	15	<b>అవసాదము,</b> <i>n.</i> Ruin, loss; end, ter-
left	16	mination; exhaustion, fatigue.
left	17	<b>అవసానము,</b> <i>n.</i> Conclusion, termina-
left	18	tion, end; death, decease.
left	19	<b>అవసాయము,</b> <i>n.</i> Termination, con-
left	20	clusion, end; completion;remain-
left	21	der; determination, resolution,
left	22	decision.
left	23	<b>అవసితము,</b> <i>a.</i> Finished, ended, com-
left	24	pleted; known, understood.
left	25	<b>అవస్కందము,</b> <i>n.</i> Attack, assault.
left	26	<b>అవస్థ,</b> <i>n.</i> State,condition, situation,
left	27	position; period, stage.
left	28	<b>అవస్థానము,</b> <i>n.</i> Residing, dwelling,
left	29	abode, residence.
left	30	<b>అవహారము,</b> <i>n.</i> Temporary cessation
left	31	of hostilities, truce.
left	32	<b>అవహారుఁడు,</b> <i>n.</i> A thief.
left	33	<b>అవహేలనము,</b> } <i>n.</i> Treating with
left	34	<b>అవహేళనము,</b> } contempt,despising.
right	1	<b>అవాంతరము,</b> <i>a.</i> Included, involved;
right	2	subordinate, secondary.
right	3	<b>అవాచి,</b> <i>n.</i> The south.
right	4	<b>అవాచీనము,</b> <i>a.</i>Southern;downward,
right	5	headlong.
right	6	<b>అవాచ్యము,</b> <i>a.</i>Unutterable,unspeak-
right	7	able, ineffable,indescribable, not
right	8	expressible in words ; improper
right	9	or not fit to be uttered, obscene.
right	10	<b>అవా ప్తము,</b> <i>a.</i> Obtained.
right	11	<b>అవా ప్తి,</b> <i>n.</i> Obtaining, getting.
right	12	<b>అవారణము,</b> <i>a.</i> Unrestrained, resist-
right	13	less. [much, ample.
right	14	<b>అవారి,</b> <i>a.</i> Abundant, excessive,
right	15	<b>అవారిగ,</b> <i>adv.</i> Abundantly, excess-
right	16	ively. [ unavoidable
right	17	<b>అవార్యము,</b><i>a.</i> Inevitable, irresistible,
right	18	<b>అవాస్తవము,</b> <i>a.</i> Not real, unreal,un-
right	19	true, unfounded, fictitious.
right	20	<b>అవి,</b> <i>pron. pl.</i> of <b>అది.</b> Those, those
right	21	things, they.
right	22	<b>అవికలము,</b> <i>a.</i> Unimpaired, entire,
right	23	perfect.
right	24	<b>అవిచ్ఛిన్నము,</b> <i>a.</i> Uninterrupted, un-
right	25	intermitting.
right	26	<b>అవిచ్ఛిన్నముగా,</b> <i>adv.</i> Uninterrupt-
right	27	edly, unintermittingly.
right	28	<b>అవిటి,</b> } <i>n.</i> A blind man; he who
right	29	<b>అవిడి,</b> } is maimed, crippled or
right	30	deformed.
right	31	<b>అవిద్య,</b> <i>n.</i> Ignorance, want of
right	32	learning. [ trouble, distress
right	33	<b>అవిధి,</b> <i>n.</i> Misfortune, calamity,
right	34	<b>అవినీతుఁడు,</b> <i>n.</i> A rude or ill-bred
right	35	man, an insolent man, an arro-
right	36	gant man.
footer		Digitized by Google
footer		Original from
footer		HARVARD UNIVERSITY
