--- CONSONANTS ---

ก   ко̄
ข   к'ɔ̄′
ฃ   к'ɔ̄′
ค   к'ɔ̄
ฅ   к'ɔ̄
ฆ   к'ɔ̄
ง   нгō
จ   тьō
ฉ   чо̄′
ช   чо̄
ซ   со̄
ฌ   чо̄
ญ   йо̄
ฎ   до̄
ฏ   то̄
ฐ   т'ɔ̄′
ฑ   т'ɔ̄
ฒ   т'ɔ̄
ณ   но̄
ด   до̄
ต   то̄
ถ   т'ɔ̄′
ท   т'ɔ̄
ธ   т'ɔ̄
น   но̄
บ   бо̄
ป   по̄
ผ   п'ɔ̄′
ฝ   фɔ̄′
พ   п'ɔ̄
ฟ   фо̄
ภ   п'ɔ̄
ม   мо̄
ย   йо̄
ร   ро̄
ล   ло̄
ว   во̄
ศ   со̄′
ษ   со̄′
ส   со̄′
ห   хо̄′
ฬ   ло̄
อ   ō
ฮ   хо̄

--- SPECIAL CONSONANTS (follow ร and ล in the dictionary) ---

ฤ    ры̆
ฤๅ   ры̄
ฦ    лы̆
ฦๅ   лы̄

--- VOWELS (Порядок знаков для обозначения гласных) ---

◌ะ      (กะ)
◌ั       (กัน)
◌ัว      (ผัว)
◌ัวะ     (ผัวะ)
◌า      (กา)
◌ำ      (นำ)
◌ิ       (ติ)
◌ี       (มี)
◌ึ       (ตึก)
◌ื       (มือ)
◌ุ       (กุ)
◌ู       (งู)
เ◌      (เซ)
เ◌ะ     (เกะ)
เ◌า     (เขา)
เ◌าะ    (เจาะ)
เ◌ิ      (เกิน)
เ◌ีย    (เสีย)
เ◌ียะ   (เผียะ)
เ◌ือ    (เสือ)
เ◌ือะ   (เกือะ)
แ◌      (แล)
แ◌ะ     (แพะ)
โ◌      (โอ)
โ◌ะ     (โปะ)
ใ◌      (ใน)
ไ◌      (ไห)
