column_id	line_number	text
header		การูญ — 67 — กาสาวพัสตร์
left	1	<b>การูญ ка̄-рун</b> <i>пали, санскр. книжн.</i> милость;
left	2	любезность, одолжение.
left	3	<b>การุณย์ ка̄-рун</b> <i>см.</i> <b>การุญ</b>.
left	4	<b>กาเรียน ка̄-рӣан</b> журавль (Grus antigone).
left	5	<b>กาล ка̄н</b> I <i>пали, санскр. сущ.</i> 1) время; пе-
left	6	риод; эпоха; 2) раз;
left	7	<b>กาลกิริยา ка̄н-киˆ-риˇ-йа̄</b> <i>пали книжн.</i> смерть,
left	8	кончина;
left	9	<b>กาลจักร ка̄н-тьакˆ</b> <i>перен.</i> 1) колесо време-
left	10	ни; 2) судьба;
left	11	<b>กาลทูต ка̄-лаˇ-тˣӯт`</b> посланец смерти;
left	12	<b>กาลเทศะ ка̄-лаˇ-тˣе̄caˆ</b> <i>см.</i> <b>กาลเทศะ</b>;
left	13	<b>กาลนิรุป ка̄н-лаˇ-ниˇ-рӯп`</b> хронология;
left	14	<b>กาลนิโยค ка̄н-лаˇ-ниˇ-йɔ̄к`</b> судьба, удел;
left	15	<b>กาลภาพ ка̄н-лаˇ-пˣа̄п`</b> <i>прил.</i> хронологичес-
left	16	кий, в хронологической последовательности.
left	17	<b>กาล ка̄-лаˇ</b> II <i>пали, санскр. книжн. гл. обр.</i>
left	18	<i>в сложн.</i> чернота; мрак, тьма.
left	19	<b>กาลกรรณี ка̄-лаˇ-кан-нӣ</b> <i>санскр.</i> несчастье;
left	20	зло.
left	21	<b>กาลกิณี ка̄-лаˇ-кан-нӣ</b> <i>см.</i> <b>กาลกรรณี</b>.
left	22	<b>กาลเทศะ ка̄-лаˇ-тˣе̄-саˆ</b> время и место; <b>เหมาะ</b>
left	23	<b>สมแก่กาลเทศะ моˆ-сом´ кэ̄ˆ ка̄-лаˇ-тˣе̄-саˆ</b>
left	24	уместный и своевременный.
left	25	<b>กาลัด ка̄-латˇ</b> <i>яв.</i> искусственный жемчуг;
left	26	искусственный драгоценный камень.
left	27	<b>กาลัก ка̄-ликˇ</b> <i>будд.</i> продукты, которые мо-
left	28	гут быть употреблены только в определён-
left	29	ное время (в определённые дни).
left	30	<b>กาลี ка̄-лӣ</b> <i>санскр. книжн.</i> плохой, дур-
left	31	ной, скверный; злой;
left	32	<b>กาลีบ้านกาลีเมือง ка̄-лӣ-ба̄н`-ка̄-лӣ-мы̄анг</b>
right	1	<i>сущ.</i> то, что угрожает национальной без-
right	2	опасности; то, что представляет собой
right	3	национальное зло.
right	4	<b>กาว kāu</b> клей.
right	5	<b>ก้าว kāu</b> 1. <i>сущ.</i> шаг; 2. <i>гл.</i> шагать, сту-
right	6	пать;
right	7	<b>ก้าวก่าย kāu-kāi</b> 1. <i>гл.</i> вмешиваться; 2.
right	8	<i>прил.</i> сваленный друг на друга, кучей
right	9	<i>(о предметах)</i>;
right	10	<b>ก้าวข้าม kāu-khām</b> 1) перешагивать;
right	11	преодолевать;
right	12	<b>ก้าวเฉียง kāu-čhīang</b> 1) идти зигзагом <i>(о</i>
right	13	корабле, лодке); 2) <i>перен.</i> увиливать от от-
right	14	вета <i>(в разговоре)</i>;
right	15	<b>ก้าวทัน kāu-than</b> догонять, настигать;
right	16	<b>ก้าวร้าว kāu-rāu</b> 1) оскорблять; 2) зади-
right	17	рать, приставать; придираться;
right	18	<b>ก้าวล่วง kāu-lūang</b> нарушать; посягать,
right	19	покушаться;
right	20	<b>ก้าวล้ำหน้ากว่า kāu-lam-nā-kwā</b> обгонять,
right	21	опережать, перегонять;
right	22	<b>ก้าวหน้า kāu-nā</b> 1. <i>гл.</i> прогрессировать,
right	23	развиваться; 2. <i>прил.</i> прогрессивный, пе-
right	24	редовой.
right	25	<b>กาววาว kāu-wāu</b> яркий, пёстрый.
right	26	<b>กาแวน kā-wǣn</b> сорока.
right	27	<b>ก๊าส kāt</b> <i>англ.</i> 1) керосин; 2) газ.
right	28	<b>กาสาวะ kā-sā-wa</b> <i>пали</i> ткань кирпичного
right	29	(оранжевого) цвета (из к-рой шьют мо-
right	30	нашеское одеяние);
right	31	<b>กาสาวพัสตร์ kā-sā-wa-phat</b> <i>пали</i> 1) <i>см.</i>
right	32	<b>กาสาวะ</b>; 2) монашеское одеяние.
footer		5*
