column_id	line_number	text
header		5
left	1	<b>bʷaði</b> the gums.
left	2	<b>bʷaðirɔ</b> my gums.
left	3	<b>bʷaahɔ̃</b> to be mute.
left	4	<b>bʷãĩĩ</b> balloon fish.
left	5	<b>bʷairi</b> black paint.
left	6	<b>bʷamera</b> a bird related to baeho,
left	7	'buse chauve'.
left	8	<b>bʷaŋũ</b> [M] anchor (cf. bɔwɔ 2).
left	9	<b>bʷao</b> top of the bottom posts of
left	10	the round house where the roof
left	11	is attached to the wall.
left	12	<b>bʷařa</b> in:
left	13	<b>nĩabʷařa</b> the groin.
left	14	<b>bʷãřãwã</b> roofing of straw with
left	15	roots placed outward.
left	16	<b>bʷããřĩ</b> to go all the way round
left	17	something.
left	18	<b>bʷara</b> the forehead (cf. [M]
left	19	bʷašã).
left	20	<b>bʷaraanĩ</b> his forehead.
left	21	<b>bʷaraya</b> having a receding hair-
left	22	line (cf. bʷara, ya).
left	23	<b>bʷaro</b> crest of a rooster.
left	24	<b>bʷaro</b> meɔ.
left	25	<b>bʷašã</b> [M] the forehead (cf.
left	26	bʷara).
left	27	<b>bʷašaye</b> small taro field.
left	28	<b>bʷawĩĩ</b> dull, of a point.
left	29	<b>bʷeṉɔ̃ɔ̃</b> to be drunk.
left	30	<b>bʷeu</b> to be clean, cleared, more
left	31	or less level (of ground).
left	32	<b>bʷɛ̃</b> many, numerous.
left	33	<b>bʷɛ̃řɛ̃</b> a mark representing some-
left	34	thing.
left	35	<b>bʷɛ̃řɛ̃ tivi</b> the high-water
left	36	mark of a flood.
left	37	(possibly in nibʷɛ̃řɛ̃ 'time for,
left	38	of, something')
left	39	<b>bʷɛ̃řĩ</b> in:
right	1	<b>ṯɔbʷɛ̃řĩ</b> to close something.
right	2	<b>ṯɔrɔbʷɛ̃řĩ</b> to cover completely.
right	3	<b>ubwɛ̃řĩ</b> to close something.
right	4	<b>bʷii</b> 1. the last of something,
right	5	the end.
right	6	<b>bʷii</b> 2. variety of taro.
right	7	<b>bʷĩřĩnĩ</b> a heap of yams or other
right	8	food.
right	9	<b>bʷiwi</b> a cowry (larger than
right	10	waðiði).
right	11	C
right	12	<b>cituanɛ̃</b> the traditional right-
right	13	hand man of the chief who
right	14	served as his messenger.
right	15	(presumably borrowed)
right	16	Ç
right	17	<b>çiibə</b> the non-native rat.
right	18	(presumably borrowed)
right	19	D
right	20	<b>dã</b> day, light.
right	21	<b>dae</b> 1. something, thing.
right	22	<b>dae</b> 2. in:
right	23	<b>dodae</b> something woven; a mat,
right	24	clothing.
right	25	<b>daešə</b> an encounter, meeting
right	26	(cf. šə 1).
right	27	<b>dãɛ̃</b> a tree with hard wood used
right	28	to make warclubs (grows in red
right	29	soil and dry forest).
right	30	<b>damiři</b> clear weather (cf. dã,
right	31	miři).
right	32	<b>dařa</b> 1. [M] way, manner (cf.
right	33	betu).
right	34	<b>dařa</b> 2. wide.
right	35	<b>dãřĩ</b> to weep.
