column_id	line_number	text
header		ܕܠܝܬ
header		3
header		ܐܠܦ
header		ܕܠܝܬ
left	1	<b>ܐܓܝ</b> <i>or</i> <b>ܐܓܝܕ</b> igyû, Tkh., =<b>ܐܵܓ݂ܹܬܼܵܐ</b>.
left	2	<b>ܐܵܓ̰ܝܼ</b> âjî chai, pers. اجی چای, a river
left	3	flowing into the E. side of the sea of Urmi.
left	4	<b>ܐܵܓ݂ܸܠ</b> âghil, pers. turk. اغل, m. i, a <i>sheepfold</i>.
left	5	<b>ܐܵܓ݂ܵܝܵܢܵܐ</b> âghâyânâ, f. <b>-ܬܼܵܐ</b>, fr. <b>ܐܵܓ݂ܵܐ</b>, <i>noble</i>.
left	6	<b>ܐܵܓ̰ܸܪ</b> âjir, <i>punishment, revenge, recompense for</i>
left	7	<i>evil</i>.
left	8	<b>ܐܲܓ݂ܝܼܪܵܐ</b> l-îrâ Al., OS. <b>ܐܲܓ݂ܝܼܪܵܐ</b> (see <b>ܐܵܓ݂ܪܵܐ</b>), m. i,
left	9	a <i>hired servant, hireling</i>.
left	10	<b>ܐܲܓ݂ܝܼܪܬܵܐ</b> agirtâ, OS., f. 6, a <i>small coin</i>.
left	11	<b>ܐܵܓ݂ܹܬܼܵܐ</b> âghétâ, fem. of <b>ܐܵܓ݂ܵܐ</b>, <b>ܐܵܝܵܐ</b>, f. 6, a <i>mistress</i>,
left	12	<i>lady, landlord's wife</i>.
left	13	<b>ܐܵܓ̰ܵܐܠ</b> âjâl, arab. turk. pers. اجل, f. i, <i>time of</i>
left	14	<i>death</i>.
left	15	<b>ܐܲܓ݂ܠܲܒ</b> aghlab, arab. turk. <b>اغلب</b>, <i>precisely</i>.
left	16	<b>ܐܵܓ݂ܵܠܵܒܲܢܕ</b> âghâlâband, az. turk. <b>اقالابند</b>, m. i,
left	17	a <i>haberdasher</i>.
left	18	<b>ܐܸܓ̰ܠܵܣ</b> ijlâs, arab. turk. اجلاس (fr. جلس
left	19	to sit), f. i, <i>a committee, a meeting, cf.</i> <b>ܗܘܼܡܙܸܡܵܢܝܼ</b>.
left	20	<b>ܐܵܓ̰ܸܡ</b> see <b>ܐܲܓ̰ܲܡ</b>.
left	21	<b>ܐܲܓ̰ܲܡ</b> ajim Al.=<b>ܐܲܓ̰ܸܡ</b>.
