column_id	line_number	text
header		<b>YIDDISH-ENGLISH DICTIONARY.</b>
header		________________
header		<b>א</b>
left	1	1) to unbind, to untie; <i>va.</i> <b>אָבבינרען</b>
left	2	2) to wean: <b>אבבינדען פון דער ברוסט</b> to
left	3	wean from the breast; 3) to de-
left	4	tach: <b>אָבבינדען פון אַ פּאַרטיי</b> to detach
left	5	from a party.
left	6	1) to blow off; 2) to <i>va.</i> <b>אָבבלאָזען</b>
left	7	cease blowing.
left	8	to wear off, to <i>va.&n.</i> <b>אָבבליאַקירען</b>
left	9	fade.
left	10	to fade, to cease bloom- <i>vn.</i> <b>אָבבליהען</b>
left	11	ing.
left	12	to cease lightening. <i>vn.</i> <b>אָבבליצען</b>
left	13	1) to finish praying; 2) to <i>va.</i> <b>אָבבעטען</b>
left	14	beg to return: <b>ער האָט ביי איהם אָבגע-</b>
left	15	<b>בעטען דאָס בוך</b> he begged him to re-
left	16	turn the book. ‖ — <b>זיך</b> to beg to be
left	17	excused <i>or</i> relieved: <b>זיך אָבבעטען אויף</b>
left	18	<b>אַ טאָג</b> to beg to be excused for a
left	19	day.
left	20	1) to say grace after <i>vn.</i> <b>אָבבענטשען</b>
left	21	meals; 2) to finish saying grace.
left	22	<b>אָבבערשטען</b> .<i>ז</i> <i>va</i>.<b>אָבבערשטען</b>
left	23	1) to roast; 2) to finish <i>va.</i> <b>אָבבראָטען</b>
left	24	roasting.
left	25	to use up. <i>va.</i> <b>אָבברויכען</b>
left	26	1) breaking off; 2) damage. <i>m.</i> <b>אָבברוך</b>
left	27	to pave. <i>va.</i> <b>אָבברוקירען</b>
left	28	1) to seethe; 2) to scald; <i>va.</i> <b>אָבבריהען</b>
left	29	3) to abuse.
left	30	to bring back, to re- <i>va.</i> <b>אָבבריינגען</b>
left	31	turn.
left	32	to brew up. <i>va.</i> <b>אָבברייען</b>
left	33	to kick in return. <i>va.</i> <b>אָבבריקען</b>
left	34	1) to break off; 2) to <i>va.</i> <b>אָבברעכען</b>
left	35	stop, to interrupt; 3) to vomit
left	36	out.
left	37	1) to burn off, to <i>va.&n.</i> <b>אָבברענערן</b>
left	38	burn down; 2) to lose property by
left	39	fire.
left	40	to crumble off. ‖ — <b>זיך</b> .<i>va</i> <b>אָבברעקלען</b>
left	41	to crumble down.
right	1	Aleph. (<i>The first letter of the</i> <i>m.</i> <b>א</b>
right	2	<i>Hebrew alphabet, equivalent to</i> a, o <i>in</i>
right	3	<i>far, for; its numerical value is 1.</i>)
right	4	a: <b>אַ מענש</b> a man. <i>art.</i> <b>אַ</b>
right	5	ah! eh! well! <i>interj.</i> <b>אַ</b>
right	6	or: <b>אַ ניט</b> or else; <b> ? אַ יאָ</b> is not <i>conj.</i> <b>אַ</b>
right	7	that so?
right	8	O! oh! <b>אַ וועה</b> alas! <i>interj.</i> <b>אָ</b>
right	9	Ab. (<i>The eleventh month in the m.</i> <b>אָב</b>
right	10	<i>Jewish calendar, corresponding to parts</i>
right	11	<i>of July and August; has 30 days.</i>)
right	12	off, away, from, <i>prp.</i> (<b>אַב-</b>=) <b>אָב</b>
right	13	down.
right	14	care: <b>אַכאַכט געבען</b> to take <i>f.</i> <b>אַבאַכט</b>
right	15	care.
right	16	to send for. <i>va.</i> <b>אָבאַכטען</b>
right	17	to subscribe. <i>vn.</i> <b>אַבאָנירען</b>
right	18	subscription. <i>n.</i> <b>אַבאנעמענט</b>
right	19	subscriber. <i>m.</i> <b>אַבאָנענט</b>
right	20	to finish ploughing, to <i>va.</i> <b>אָבאַקערן</b>
right	21	plough through.
right	22	1) to cease working; <i>va.</i> <b>אָבאַרבייטען</b>
right	23	2) to work off: <b>אָבאַרבייטען אַ חוב</b> to
right	24	work off a debt.
right	25	1) to bathe; 2) to finish <i>va.</i> <b>אָבבאַדען</b>
right	26	bathing. ‖ — <b>זיך</b> to bathe oneself.
right	27	1) to bake; 2) to finish <i>va.</i> <b>אָבבאַקען</b>
right	28	baking.
right	29	1) to brush off; 2) to <i>vn.</i> <b>אָבבאַרשטען</b>
right	30	finish brushing.
right	31	1) to build; 2) to finish <i>va.</i> <b>אָבבויען</b>
right	32	building; 3) to rebuild, to build
right	33	anew.
right	34	1) to iron; 2) to finish <i>va.</i> <b>אָבביגלען</b>
right	35	ironing.
right	36	1) to bend off, to unbend; <i>va.</i> <b>אָבבייגען</b>
right	37	2) to bend aside.
right	38	1) to change; 2) to re- <i>va.</i> <b>אָבבייטען</b>
right	39	lieve: <b>אימערען אָבבייטען אויף אַ שטונדע</b> to
right	40	relieve somebody for an hour.
right	41	to bite off, <i>va.</i> <b>אָבבייסען</b>
