english_word,carolinian_headword,dialect,page_number
abbreviate,weeimwoscheey,NA,494
abdomen,bwulóóló,NA,494
abdomen,pah,TAN,494
abdomen,uubw,NA,494
abdominal muscles,tchong,NA,494
able,emmwel1,NA,494
able,kkáng,NA,494
able,kkeng,TAN,494
able,mmwel1,NA,494
able,rhúmmáng,TAN,494
able,schúmmáng,NA,494
able,tapélégh,NA,494
able,teefúrh,TAN,494
about,aro–,NA,494
about to,–bwele,NA,494
about to,far,NA,494
about to,lee,NA,494
above,wei–1,NA,494
above,weiláng,NA,495
above,wóó-,NA,495
absent-minded,malleg,TAN,495
absent-minded,mallégh,NA,495
absorb,otcholó,TAN,495
absorbed,etcheló,NA,495
abstain,sóngosóng,NA,495
accelerate,assiti,NA,495
accent,ghoogho,NA,495
accent,ngiingi,NA,495
acceptable,wetig,TAN,495
acceptable,wetigh,NA,495
accident,filiwóh,TAN,495
accident,filiwós,NA,495
accident,kkuraas,NA,495
accompany,amalamal,NA,495
accompany,amalamalúw,NA,496
accompany,amanaman,TAN,496
accompany,amanamanú,TAN,496
accompany,fiti1,NA,496
accompany,tabw,NA,496
accompany,tabwescheey,NA,496
accompany,tabweey,NA,496
accomplish,tam,NA,496
accumulate,sass,NA,496
accuracy,welewel,NA,496
accuracy,wenewen,TAN,496
accurate,awela,NA,496
accuse,mááitip,NA,496
accuse,tipiingáli,NA,496
accuse,tipiingeni,TAN,496
accuse,wááitip,TAN,496
ache,metághetágh,NA,496
ache,mwááng,NA,496
acquaint,guleey,TAN,496
acquaint,ghuleey,NA,497
acquire,gul,TAN,497
acquire,ghul3,NA,497
act,awóófirh,TAN,497
act,awóófisch,NA,497
act,ppwomwoli,NA,497
act,rugupaat,TAN,497
act,rughupaat,NA,497
active,ruuru1,NA,497
Adam’s apple,fay,NA,497
Adam’s apple,fay,NA,497
Adam’s apple,fay,TAN,497
add,akkiilong,NA,497
add,h,TAN,497
add,ura–,NA,497
add,r,NA,497
add,sóbweeytá,NA,498
addition,fiti2,NA,498
adhere,parh,TAN,498
adhere,pasch1,NA,498
adjust,awela,NA,498
adjust,weliló,NA,498
adjust,weneló,TAN,498
administrator,móóghas,NA,498
admire,woori,NA,498
admit,abwáári,NA,498
adolescent,gáráárá,TAN,498
adolescents,olighát1,NA,498
adopt,limweimwey,NA,498
adopt,mwei–,NA,498
